"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
long_covid_symptoms_cardiovascular_heavy_limbsrecord_id,px992009_long_covid_symptoms_cardiovascular_symptom_course,,text,"Record ID",,PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_heavy_limbs,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Do you still have the heavy limbs?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_heavy_limbs_normal_activities,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Does/did the heavy limbs affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_heavy_limbs_clear,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"When did the heavy limbs clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_rapid_heart_rate,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Do you still have the rapid heart rate?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_rapid_heart_rate_normal_activities,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Does/did the rapid heart rate affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_rapid_heart_rate_clear,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"When did the rapid heart rate clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_slow_heart_rate,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Do you still have the slow heart rate?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_slow_heart_rate_normal_activities,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"Does/did the slow heart rate affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992009,,,,,,,,,,,
long_covid_symptoms_cardiovascular_slow_heart_rate_clear,px992009_long_covid_symptoms_cardiovascular_symptom_course,,radio,"When did the slow heart rate clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992009,,,,,,,,,,,
