"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_maximum_adult_height_record_id","px020901_phenx_maximum_adult_height",,"text","Record ID",,"PX020901",,,,,,,,,,"",
"height_in_feet","px020901_phenx_maximum_adult_height",,"radio","ENTER HEIGHT IN FEET AND INCHES OR METERS AND CENTIMETERS","1, FEET AND INCHES | 2, METERS AND CENTIMETERS | 3, REFUSED | 4, DON'T KNOW","PX020901",,,,,,,,,,"",""
"current_height_meters","px020901_phenx_maximum_adult_height",,"text","How tall {are you/is [participant]} without shoes?",,"PX020901","number",0,3,,"[height_in_feet] = '2'",,,,,"",""
"current_height_centimeters","px020901_phenx_maximum_adult_height",,"text","How tall {are you/is [participant]} without shoes?",,"PX020901","number",0,99,,"[height_in_feet] = '2'",,,,,"",""
"current_height_feet","px020901_phenx_maximum_adult_height",,"text","How tall {are you/is [participant]} without shoes?",,"PX020901","number",2,8,,"[height_in_feet] = '1'",,,,,"",""
"current_height_inches","px020901_phenx_maximum_adult_height",,"text","How tall {are you/is [participant]} without shoes?",,"PX020901","number",0,11,,"[height_in_feet] = '1'",,,,,"",""
"fifty_and_older","px020901_phenx_maximum_adult_height",,"radio","respondent is 50 years and older?","1, Yes | 2, No | 3, REFUSED | 4, DON'T KNOW","PX020901",,,,,,,,,,"",""
"age25_height_meters","px020901_phenx_maximum_adult_height",,"text","How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,"PX020901","number",0,3,,"[height_in_feet] = '2' and [fifty_and_older] = '1'",,,,,"",""
"age25_height_centimeters","px020901_phenx_maximum_adult_height",,"text","How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,"PX020901","number",0,99,,"[height_in_feet] = '2' and [fifty_and_older] = '1'",,,,,"",""
"age25_height_feet","px020901_phenx_maximum_adult_height",,"text","How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,"PX020901","number",2,8,,"[height_in_feet] = '1' and [fifty_and_older] = '1'",,,,,"",""
"age25_height_inches","px020901_phenx_maximum_adult_height",,"text","How tall {were you/was SP} at age 25? [If you don't know {your/his/her} exact height, please make your best guess.]",,"PX020901","number",0,11,,"[height_in_feet] = '1' and [fifty_and_older] = '1'",,,,,"",""
"age25_height_proxy_name","px020901_phenx_maximum_adult_height",,"text","When the question is being asked of a proxy respondent, insert the participant's name here",,"PX020901",,,,,,,,,,"",""
