"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_eight_population_clotting_standard_record_id","px911201_factor_eight_population_clotting_standard",,"text","Record ID",,"PX911201",,,,,,,,,,"",
"factor_eight_population_clotting_standard_sample_collection","px911201_factor_eight_population_clotting_standard",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_venous_statsis","px911201_factor_eight_population_clotting_standard",,"radio","Were steps taken to prevent prolonged venous stasis?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_nonhemolyzed","px911201_factor_eight_population_clotting_standard",,"radio","Were nonhemolyzed samples collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_blood_draw","px911201_factor_eight_population_clotting_standard",,"radio","Was the order of blood draw recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_tubes","px911201_factor_eight_population_clotting_standard",,"radio","Were collection tubes filled and mixed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_venipuncture","px911201_factor_eight_population_clotting_standard",,"radio","Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_tubes_filled","px911201_factor_eight_population_clotting_standard",,"radio","Were the tubes filled within 11% of the fill line?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_tubes_second","px911201_factor_eight_population_clotting_standard",,"radio","Was a second tube collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_tubes_winged","px911201_factor_eight_population_clotting_standard",,"radio","Was a winged butterfly collection system used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,,,,,,"",""
"factor_eight_population_clotting_standard_sample_collection_tubes_discard","px911201_factor_eight_population_clotting_standard",,"radio","Was a discard tube drawn?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911201",,,,,"[factor_eight_population_clotting_standard_sample_collection_tubes_winged] = 'UNDEFINED_CODE'",,,,,"",""
