"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_emotional_state_adult_protocol_record_id","px180501_phenx_emotional_state_adult_protocol",,"text","Record ID",,"PX180501",,,,,,,,,,"",
"instructions_180501","px180501_phenx_emotional_state_adult_protocol",,"descriptive","The respondent is asked to read several words and phrases which describe feelings and emotions and enter a number that corresponds to the value on a scale. The 5-item scale ranges from ""very slightly or not at all,"" with a value of 1, to ""extremely,"" with a value of 5.",,"PX180501",,,,,,,,,,"",""
"cheerful","px180501_phenx_emotional_state_adult_protocol",,"radio","cheerful","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"sad","px180501_phenx_emotional_state_adult_protocol",,"radio","sad","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"active","px180501_phenx_emotional_state_adult_protocol",,"radio","active","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"angry_at_self","px180501_phenx_emotional_state_adult_protocol",,"radio","angry at self","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"disgusted_with_self","px180501_phenx_emotional_state_adult_protocol",,"radio","disgusted with self","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"calm","px180501_phenx_emotional_state_adult_protocol",,"radio","calm","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"guilty","px180501_phenx_emotional_state_adult_protocol",,"radio","guilty","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"enthusiastic","px180501_phenx_emotional_state_adult_protocol",,"radio","enthusiastic","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely","PX180501",,,,,,,,,,"",""
"attentive","px180501_phenx_emotional_state_adult_protocol",,"radio","attentive","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"afraid","px180501_phenx_emotional_state_adult_protocol",,"radio","afraid","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"joyful","px180501_phenx_emotional_state_adult_protocol",,"radio","joyful","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"downhearted","px180501_phenx_emotional_state_adult_protocol",,"radio","downhearted","1, Very slightly or not at all | 2, A little | 3, Moderately | 4, Quite a bit | 5, Extremely","PX180501",,,,,,,,,,"",""
"bashful","px180501_phenx_emotional_state_adult_protocol",,"radio","bashful","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"tired","px180501_phenx_emotional_state_adult_protocol",,"radio","tired","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"nervous","px180501_phenx_emotional_state_adult_protocol",,"radio","nervous","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"sheepish","px180501_phenx_emotional_state_adult_protocol",,"radio","sheepish","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"sluggish","px180501_phenx_emotional_state_adult_protocol",,"radio","sluggish","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"amazed","px180501_phenx_emotional_state_adult_protocol",,"radio","amazed","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"lonely","px180501_phenx_emotional_state_adult_protocol",,"radio","lonely","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"distressed","px180501_phenx_emotional_state_adult_protocol",,"radio","distressed","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"daring","px180501_phenx_emotional_state_adult_protocol",,"radio","daring","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"shaky","px180501_phenx_emotional_state_adult_protocol",,"radio","shaky","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"sleepy","px180501_phenx_emotional_state_adult_protocol",,"radio","sleepy","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"blameworthy","px180501_phenx_emotional_state_adult_protocol",,"radio","blameworthy","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"surprised","px180501_phenx_emotional_state_adult_protocol",,"radio","surprised","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"happy","px180501_phenx_emotional_state_adult_protocol",,"radio","happy","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"excited","px180501_phenx_emotional_state_adult_protocol",,"radio","excited","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"determined","px180501_phenx_emotional_state_adult_protocol",,"radio","determined","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"strong","px180501_phenx_emotional_state_adult_protocol",,"radio","strong","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"timid","px180501_phenx_emotional_state_adult_protocol",,"radio","timid","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"hostile","px180501_phenx_emotional_state_adult_protocol",,"radio","hostile","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"frightened","px180501_phenx_emotional_state_adult_protocol",,"radio","frightened","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
"scornful","px180501_phenx_emotional_state_adult_protocol",,"radio","scornful","1 , Very slightly or not at all|2 , A little|3 , Moderately|4 , Quite a bit|5 , Extremely","PX180501",,,,,,,,,,"",""
