"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"pain_body_map_record_id","px171701_PX171701_pain_body_map",,"text","Record ID",,"PX171701",,,,,,,,,,"",""
"pain_body_map_chronic_pain","px171701_PX171701_pain_body_map",,"checkbox","If you do not have chronic pain check here","UNDEFINED_CODE, No Chronic Pain","PX171701",,,,,,,,,,"",""
"pain_body_map_persistent_recurrent_face","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Face","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_jaw","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt jaw","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_jaw","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt jaw","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_chest","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt chest/breast","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_chest","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt chest/breast","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_upper_arm","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt upper arm","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_upper_arm","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt upper arm","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_elbow","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt elbow","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_elbow","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt elbow","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_lower_arm","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt lower arm","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_lower_arm","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt lower arm","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_right_wrist","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt wrist/hand","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
"pain_body_map_persistent_recurrent_left_wrist","px171701_PX171701_pain_body_map",,"radio","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt wrist/hand","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No","PX171701",,,,,"[pain_body_map_chronic_pain(UNDEFINED_CODE)]!='1'",,,,,"",""
