"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_epilepsy_screener_record_id","px130401_phenx_epilepsy_screener",,"text","Record ID",,"PX130401",,,,,,,,,,"",
"seizure_or_convulsion","px130401_phenx_epilepsy_screener",,"radio","Did anyone ever tell you that you had a seizure or convulsion caused by a high fever when you were a child?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,,,,,,"",""
"have_seizure_disorder_or_epilepsy","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, a seizure disorder or epilepsy?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"[seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2'",,,,,"",""
"have_seizure_disorder2_b49","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, a seizure disorder or epilepsy?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"[seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3'",,,,,"",""
"other_seizure","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  A seizure, convulsion, fit or spell under any circumstances?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"other_seizure2_963","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  A seizure, convulsion, fit or spell under any circumstances?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"uncontrolled_movements","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  Uncontrolled movements of part or all of your body such as twitching, jerking, shaking or going limp?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"uncontrolled_movement2_029","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  Uncontrolled movements of part or all of your body such as twitching, jerking, shaking or going limp?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"unexplained_change_in_mental","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  An unexplained change in your mental state or level of awareness; or an episode of spacing out that you could not control?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"unexplained_change_in2_dc8","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  An unexplained change in your mental state or level of awareness; or an episode of spacing out that you could not control?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"daydream_or_stare_into_space","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  Did anyone ever tell you that when you were a small child, you would daydream or stare into space more than other children?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"daydream_or_stare_int2_0f9","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  Did anyone ever tell you that when you were a small child, you would daydream or stare into space more than other children?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"strobe_lights_response","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  Have you ever noticed any unusual body movements or feelings when exposed to strobe lights, video games, flickering lights, or sun glare?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"strobe_lights_respons2_27e","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  Have you ever noticed any unusual body movements or feelings when exposed to strobe lights, video games, flickering lights, or sun glare?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"uncontrollable_jerking_or_clumsiness","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  Shortly after waking up, either in the morning or after a nap, have you ever noticed uncontrollable jerking or clumsiness, such as dropping things or things suddenly ""flying"" from your hands?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"uncontrollable_jerkin2_f42","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  Shortly after waking up, either in the morning or after a nap, have you ever noticed uncontrollable jerking or clumsiness, such as dropping things or things suddenly ""flying"" from your hands?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
"other_repeated_unusual_spells","px130401_phenx_epilepsy_screener",,"radio","[Other than the seizure[s] you had because of a high fever] Have you ever had, or has anyone ever told you that you had, any of the following...  Have you ever had any other type of repeated unusual spells?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Possible|UNDEFINED_CODE_3,Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE' or [seizure_or_convulsion] = 'UNDEFINED_CODE_2') and [have_seizure_disorder_or_epilepsy] = 'UNDEFINED_CODE_1'",,,,,"",""
"other_repeated_unusua2_4a2","px130401_phenx_epilepsy_screener",,"radio","Have you ever had, or has anyone ever told you that you had, any of the following...  Have you ever had any other type of repeated unusual spells?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Possible | UNDEFINED_CODE_3, Don't know","PX130401",,,,,"([seizure_or_convulsion] = 'UNDEFINED_CODE_1' or [seizure_or_convulsion] = 'UNDEFINED_CODE_3') and [have_seizure_disorder2_b49] = 'UNDEFINED_CODE_1'",,,,,"",""
