"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","px860901_px860901",,"text","Record ID",,"PX860901",,,,,,,,,,"",""
"stand_one_hour","px860901_px860901",,"radio","Are you able to stand for one hour?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stand_armless_chair","px860901_px860901",,"radio","Are you able to stand up from an armless straight chair?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"run_two_miles","px860901_px860901",,"radio","Are you able to run or jog for two miles (3 km)?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stairs_normal_pace","px860901_px860901",,"radio","Are you able to go up and down stairs at a normal pace?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"walk_fifteen_minutes","px860901_px860901",,"radio","Are you able to go for a walk of at least 15 minutes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"step_up_down_curb","px860901_px860901",,"radio","Are you able to step up and down curbs?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stand_knees_straight","px860901_px860901",,"radio","Are you able to stand with your knees straight?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stand_short_period","px860901_px860901",,"radio","Are you able to stand for short periods of time?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"run_fast_two_miles","px860901_px860901",,"radio","Are you able to run at a fast pace for two miles (3 km)?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"squat_get_up","px860901_px860901",,"radio","Are you able to squat and get up?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"climb_five_steps","px860901_px860901",,"radio","Are you able to climb up five steps?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"run_short_distance","px860901_px860901",,"radio","Are you able to run a short distance, such as to catch a bus?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stand_unsupported_ten_minutes","px860901_px860901",,"radio","Are you able to stand unsupported for 10 minutes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
"stand_tiptoes","px860901_px860901",,"radio","Are you able to stand up on tiptoes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do","PX860901",,,,,,,,,"item_bank_mobility","",""
