"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","px860903_px860903",,"text","Record ID",,"PX860903",,,,,,,,,,"",""
"yapfaq_intro_text","px860903_px860903",,"descriptive","When people are in the hospital they sometimes are too sick or uncomfortable to do all of their normal activities. We want you to think about how difficult it would be to do these things today-not whether or not you like to do these things, or whether you did them today.",,"PX860903",,,,,,,,,,"",""
"take_bath_shower","px860903_px860903","Today how difficult are these things for you to do?","radio","1. Take a bath or shower?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"change_hospital_gown_clothes","px860903_px860903",,"radio","2. Put on or change your hospital gown or clothes?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"wash_body","px860903_px860903",,"radio","3. Wash your body?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"get_up_bed","px860903_px860903",,"radio","4. Get up from the bed?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"walk_around_room","px860903_px860903",,"radio","5. Walk around in the room?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"wash_shampoo_hair","px860903_px860903",,"radio","6. Wash or shampoo your hair?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"go_outside_room","px860903_px860903",,"radio","7. Go outside your room?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"up_without_need_rest","px860903_px860903",,"radio","8. Be up without needing to rest?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"change_pants","px860903_px860903",,"radio","9. Put on or change pants?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"homework_schoolwork","px860903_px860903",,"radio","10. Do homework or schoolwork?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"turn_roll_over_bed","px860903_px860903",,"radio","11. Turn over or roll over in bed?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
"change_shirt","px860903_px860903",,"radio","12. Put on or change your shirt?","0, Not Difficult | 1, A Little Difficult | 2, Somewhat Difficult | 3, Very Difficult | 4, Extremely Difficult","PX860903",,,,,,,,,"yapfaq","",""
