"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_diabetic_peripheral_neuropathy_record_id","px140401_phenx_diabetic_peripheral_neuropathy",,"text","Record ID",,"PX140401",,,,,,,,,,"",
"diabetic_peripheral_neuropathy_intro","px140401_phenx_diabetic_peripheral_neuropathy",,"descriptive","Please take a few minutes to answer the questions below about the feeling in your legs and feet. Check yes or no based on how you usually feel.",,"PX140401",,,,,,,,,,"",""
"legs_feet_numb","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Are your legs and/or feet numb?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"burning_pain","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Do you ever have any burning pain in your legs and/or feet?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"feet_too_sensitive_to_touch","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Are your feet too sensitive to touch?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"muscle_cramps","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Do you get muscle cramps in your legs and/or feet?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"prickling_feelings","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Do you ever have any prickling feelings in your legs or feet?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"bed_covers_hurt","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Does it hurt when the bed covers touch your skin?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"tell_hot_water_from_cold","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","When you get into the tub or shower, are you able to tell the hot water from the cold water?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"open_sore","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Have you ever had an open sore on your foot?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"diagnosed_diabetic_neuropathy","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Has your doctor ever told you that you have diabetic neuropathy?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"feel_weak_all_over","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Do you feel weak all over most of the time?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"symptoms_worse_at_night","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Are your symptoms worse at night?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"leg_hurt_when_walk","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Do your legs hurt when you walk?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"sense_feet_when_walking","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Are you able to sense your feet when you walk?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"skin_cracks_open","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Is the skin on your feet so dry that it cracks open?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
"amputation","px140401_phenx_diabetic_peripheral_neuropathy",,"radio","Have you ever had an amputation?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX140401",,,,,,,,,,"",""
