"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_nine_plasma_chromogenic_record_id","px910201_factor_nine_plasma_chromogenic",,"text","Record ID",,"PX910201",,,,,,,,,,"",
"factor_nine_plasma_chromogenic_sample_collection","px910201_factor_nine_plasma_chromogenic",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) followed to ensure quality specimens for coagulation testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing","px910201_factor_nine_plasma_chromogenic",,"radio","Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_capped_room_temp","px910201_factor_nine_plasma_chromogenic",,"radio","Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_not_refrigerated_stored","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples refrigerated or stored on ice or in an ice bath?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_not_transported_vertically","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples transported vertically?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_not_agitated","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples agitated during transportation to avoid remixing of components?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_transported_stored","px910201_factor_nine_plasma_chromogenic",,"radio","Were procedures for samples transportation and storage followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_unprocessed_sodium_citrate","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples transported and stored as unprocessed sodium citrate whole blood samples?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_whole_blood_centrifuged","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_sample_processing_plasma_processed_centrifugation","px910201_factor_nine_plasma_chromogenic",,"radio","Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_substrate_assay","px910201_factor_nine_plasma_chromogenic",,"radio","Were appropriate assays and instruments to perform the chromogenic substrate assay chosen?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_interpretation_results_severe","px910201_factor_nine_plasma_chromogenic",,"radio","Was a result < 1% of normal?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_interpretation_results_moderate","px910201_factor_nine_plasma_chromogenic",,"radio","Was a result > 1% and < 5% of normal?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
"factor_nine_plasma_chromogenic_interpretation_results_mild","px910201_factor_nine_plasma_chromogenic",,"radio","Was a result > 5% of normal?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910201",,,,,,,,,,"",""
