"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_conditions_relevant_to_immune_response_screener_adult_record_id","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"text","Record ID",,"PX160801",,,,,,,,,,"",
"sick_today","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Are you sick today?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"allergies","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Do you have allergies to medications, food, or any vaccine?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"reaction_to_vaccine","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Have you ever had a serious reaction after receiving a vaccination?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"long_term_health_problem","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Do you have a long-term health problem with heart disease, lung disease, asthma, kidney disease, metabolic disease (e.g., diabetes), anemia, or other blood disorder?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"immune_system_problem","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Do you have cancer, leukemia, AIDS, or any other immune system problem?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"steroids_anticancerdrugs_radiation","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Do you take cortisone, prednisone, other steroids, or anticancer drugs, or have you had radiation treatments?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"nervous_system_problem","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Have you had a seizure, brain, or other nervous system problem?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"transfusion_immuneglobulin_antiviral","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","During the past year, have you received a transfusion of blood or blood products, or have you been given immune (gamma) globulin or an antiviral drug?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"pregnant","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","For women: Are you pregnant, or is there a chance you could become pregnant during the next month?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
"vaccinations","px160801_phenx_conditions_relevant_to_immune_response_screener_adult",,"radio","Have you received any vaccinations in the past 4 weeks?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No|UNDEFINED_CODE_2,Don't Know","PX160801",,,,,,,,,,"",""
