left_Form Name,right_original_id,right_label,similarity
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031059,Impaired ability to bathe oneself,0.8011876537350613
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031059,Impaired ability to bathe oneself,0.8157863965238878
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031059,Impaired ability to bathe oneself,0.788344807223163
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031061,Impaired toileting ability,0.8018907064723286
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0033666,Diminished physical functioning,0.7890900185418437
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031062,Impaired transferring ability,0.7819592106363722
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031060,Impaired ability to dress oneself,0.7951652912753095
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031060,Impaired ability to dress oneself,0.8140030973005495
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031060,Impaired ability to dress oneself,0.7942054841182696
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031060,Impaired ability to dress oneself,0.8062608163529035
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031063,Impaired feeding ability,0.7915247831594525
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031063,Impaired feeding ability,0.7966201170765158
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031058,Impairment of activities of daily living,0.7738172689378439
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031059,Impaired ability to bathe oneself,0.7770786936601267
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0033666,Diminished physical functioning,0.7708401012600001
px250101_PhenX_-_Activities_of_Daily_Living_ADLs,HP:0031060,Impaired ability to dress oneself,0.7623083104866756
px230201_PhenX_-_Adipocytokines,HP:0034158,Anti-tyrosine phosphatase region of islet antigen-2 antibody positivity,0.767805466059712
px230201_PhenX_-_Adipocytokines,PR:000003777,adiponectin,0.778161705557748
px230201_PhenX_-_Adipocytokines,PR:Q15848,adiponectin (human),0.7928818653757814
px230201_PhenX_-_Adipocytokines,HP:0030684,Abnormal adiponectin level,0.7695768165459814
px230201_PhenX_-_Adipocytokines,UBERON:0006596,presumptive blood,0.7774952928995789
px230201_PhenX_-_Adipocytokines,PR:000003777,adiponectin,0.7755844618052152
px230201_PhenX_-_Adipocytokines,HP:0032557,History of bone marrow transplant,0.7996977404633506
px230201_PhenX_-_Adipocytokines,HP:0030684,Abnormal adiponectin level,0.7921143980794682
px230201_PhenX_-_Adipocytokines,PR:000003777,adiponectin,0.7878632060198831
px230201_PhenX_-_Adipocytokines,PR:000003777,adiponectin,0.791757230178542
px230201_PhenX_-_Adipocytokines,HP:0012823,Clinical modifier,0.7798659164514685
px230201_PhenX_-_Adipocytokines,HP:0040237,Impaired binding of factor VIII to VWF,0.7937157001014179
px230201_PhenX_-_Adipocytokines,PR:Q15848,adiponectin (human),0.7709253517819747
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0025112,Auditory sensitivity,0.7889432902670858
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0025112,Auditory sensitivity,0.8048734378661859
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0025112,Auditory sensitivity,0.8025144419467114
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0025112,Auditory sensitivity,0.7819751076376525
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:4000110,Exposure history,0.783617843110578
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:4000110,Exposure history,0.7633802395338877
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0025112,Auditory sensitivity,0.8063936315953671
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0000399,Prelingual sensorineural hearing impairment,0.8016520160734425
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:4000110,Exposure history,0.7870451448507904
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0000407,Sensorineural hearing impairment,0.8075006319881803
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0008504,Moderate sensorineural hearing impairment,0.810225546103122
px250201_PhenX_-_Auditory_Perception_and_Noise_Exposure,HP:0000364,Hearing abnormality,0.8123463631408876
