"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
long_covid_symptoms_muscle_joint_record_id,px992018_long_covid_symptoms_muscle_joint,,text,"Record ID",,PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_still_have_weakness,px992018_long_covid_symptoms_muscle_joint,,radio,"Do you still have the muscle weakness?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_weakness_affect_ability_normal_activities,px992018_long_covid_symptoms_muscle_joint,,radio,"Does/did the muscle weakness affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_when_did_weakness_clear,px992018_long_covid_symptoms_muscle_joint,,radio,"When did the muscle weakness clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_still_have_aches,px992018_long_covid_symptoms_muscle_joint,,radio,"Do you still have the muscle aches?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_aches_affect_ability_normal_activities,px992018_long_covid_symptoms_muscle_joint,,radio,"Does/did the muscle aches affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_when_did_aches_clear,px992018_long_covid_symptoms_muscle_joint,,radio,"When did the muscle aches clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_still_have_jointaches,px992018_long_covid_symptoms_muscle_joint,,radio,"Do you still have the joint aches?","UNDEFINED_CODE, Yes, I still have this symptom|UNDEFINED_CODE_1, Yes, I still have the symptom but it is less severe|UNDEFINED_CODE_2, Yes, I still have the symptom but it comes and goes|UNDEFINED_CODE_3, No, the symptom has cleared",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_jointaches_affect_ability_normal_activities,px992018_long_covid_symptoms_muscle_joint,,radio,"Does/did the joint aches affect your ability to do your normal activities?","UNDEFINED_CODE, I have/had the symptom but I can/could still do normal activities.|UNDEFINED_CODE_1, The symptom really bothers/bothered me. It is/was hard to do normal activities.|UNDEFINED_CODE_2, The symptom is/was very bad. I am/was not able to do activities that I usually do.|UNDEFINED_CODE_3, Refuse to answer",PX992018,,,,,,,,,,,
long_covid_symptoms_muscle_joint_when_did_jointaches_clear,px992018_long_covid_symptoms_muscle_joint,,radio,"When did the joint aches clear?","UNDEFINED_CODE, Less than 3 months after symptom started|UNDEFINED_CODE_1, Between 3 to 6 months after symptom started|UNDEFINED_CODE_2, Between 6 to 9 months after symptom started|UNDEFINED_CODE_3, Greater than 9 months after symptom started|UNDEFINED_CODE_4, Don't know|UNDEFINED_CODE_5, Refuse to answer",PX992018,,,,,,,,,,,
