"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_often_record_id,px281501_racial_ethnic_discrimination_recent_lifetime,,text,"Record ID",,PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>teachers and professors<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_teacher_professor_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_employee_boss_supervisor_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>employers, bosses and supervisors<span style=""font-weight: normal;""> because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_employee_boss_supervisor_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_employee_boss_supervisor_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_coworker_student_colleague_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>your co-workers, fellow students, and colleagues <span style=""font-weight: normal;"">because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_coworker_student_colleague_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_coworker_student_colleague_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_service_job_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">How often have you been treated unfairly by </span>people in service jobs<span style=""font-weight: normal;""> (by </span>store clerks, waiters, bartenders, bank tellers and others<span style=""font-weight: normal;"">) because of your race/ethnic group?</span></p></div>",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_service_job_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_service_job_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_stranger_often_past_year,px281501_racial_ethnic_discrimination_recent_lifetime,"How often have you been treated unfairly by strangers because of your race/ethnic group?",radio,"How often in the past year?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_stranger_often_entire_life,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How often in your entire life?","1, Never | 2, Once in a while | 3, Sometimes | 4, A lot | 5, Most of the time | 6, Almost all the time",PX281501,,,,,,,,,,,
racial_ethnic_discrimination_recent_lifetime_unfair_stranger_stressful,px281501_racial_ethnic_discrimination_recent_lifetime,,radio,"How stressful was this for you?","1, Not at all stressful | 2,  | 3,  | 4,  | 5,  | 6, Extremely stressful",PX281501,,,,,,,,,,,
