"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_perception_of_recovery_orientation_and_care_quality_of_m_record_id","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"text","Record ID",,"PX661502",,,,,,,,,,"",
"recovery_selfassessment_family_welcoming_staff","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff make efforts to welcome my loved one and help him/her to feel comfortable in this program. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_facilities","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","The physical space of this program (e.g., the lobby, waiting rooms, etc.) feels inviting and dignified. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_encouragement","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff encourage my loved one to have hope and high expectations for his/her recovery. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_flexibility","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","My loved one can change his/her clinician or case manager if he/she wants to. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_treatment_records","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","My loved one can easily access his/her treatment records if he/she wishes. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_threats_bribes","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff do not use threats, bribes, or other forms of pressure to influence the behavior of my loved one. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_staff_hopeful","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that my loved one can recover. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_symptoms","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that my loved one has the ability to manage his/her own symptoms. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_independence","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that program participants can make their own life choices regarding things such as where to live, when to work, whom to be friends with, etc. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
"recovery_selfassessment_family_decisions","px661502_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff listen to my loved one and respect his/her decisions about his/her treatment and care. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661502",,,,,,,,,,"",""
