"STAR Table Name: KIDPAN_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
A1	CANDIDATE A1 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	ALOCUS	
A2	CANDIDATE A2 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	ALOCUS	
A2A2B_ELIGIBILITY	WL Blood Type B Candidate Eligibility for A2/A2B Kidneys at Removal/Current Time (0=No, 1=Yes)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
ABO	RECIPIENT BLOOD GROUP @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(3)	ABO	
ABO_DON	DONOR BLOOD TYPE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	ABO	
ABO_MAT	DONOR-RECIPIENT ABO MATCH LEVEL	CALCULATED				CHAR(1)	ABOMAT	
ACADEMIC_LEVEL_TCR	ACADEMIC ACTIVITY LEVEL AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADLVLKI	
ACADEMIC_LEVEL_TRR	ACADEMIC ACTIVITY LEVEL AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADLVLKI	
ACADEMIC_PRG_TCR	ACADEMIC PROGRESS AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADPRG	
ACADEMIC_PRG_TRR	ACADEMIC PROGRESS AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADPRG	
ACTIVATE_DATE	DATE QUALIFYING CRITERIA FIRST ENTERED	WAITING LIST DATA	1987-10-01 00:00:00	2014-03-20 00:00:00	WAITING LIST DATA	NUM		
ACUTE_REJ_EPI_KI	RECIPIENT ANY ACUTE REJECTION EPISODES BETW. TX AND DISCHARGE-KIDNEY	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	REJEPIKI	
ACUTE_REJ_EPI_PA	RECIPIENT ANY ACUTE REJECTION EPISODES BETW. TX AND DISCHARGE-PANCREAS	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	REJEPIKI	
ADMISSION_DATE	RECIPIENT DATE OF ADMISSION TO TX CENTER	TRR	1999-10-25 00:00:00		PATIENT STATUS	NUM		
ADMIT_DATE_DON	DONOR ADMIT DATE	DDR	2006-04-26 00:00:00		DONOR INFORMATION	NUM		
AGE	RECIPIENT AGE (YRS)	TRR-CALCULATED	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
AGE_DIAB	RECIPIENT AGE OF DIABETES ONSET @ REGISTRATION-KI	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
AGE_DON	DONOR AGE (YRS)	DDR/LDR-CALCULATED	1987-10-01 00:00:00		DONOR INFORMATION	NUM		
AGE_GROUP	RECIPIENT AGE GROUP A=ADULT P=PEDS	CALCULATED				CHAR(1)		
AMIS	A Locus MISMATCH LEVEL	CALCULATED				NUM		
AMYLASE	DECEASED PANCREAS DONOR SERUM AMYLASE (PA DONORS ONLY)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
ANAST_LK_PA	RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE:ANASTOMOTIC LEAK	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
ANTIBODY_TESTED	CANDIDATE TESTED FOR ANTI HLA ANTIBODIES	WL	2014-03-20 00:00:00			CHAR(2)	HLATEST	
ANTIHYPE_DON	DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ARGININE_DON	DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ART_RECON	RECIPIENT ARTERIAL RECONSTRUCTION PROCEDURE @ PA TX	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	ARTERIAL	
B1	CANDIDATE B1 ANTIGEN FROM WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	BLOCUS	
