List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
SASAnalysis Format	Data Field Value	Data Field Formatted Value	Data Type
ABNBRONC	1	No Bronchoscopy	N
ABNBRONC	2	Bronchoscopy Results normal	N
ABNBRONC	3	Bronchoscopy Results, Abnormal-purulent secretions	N
ABNBRONC	4	Bronchoscopy Results, Abnormal-aspiration of foreign body	N
ABNBRONC	5	Bronchoscopy Results, Abnormal-blood	N
ABNBRONC	6	Bronchoscopy Results, Abnormal-anatomy/other lesion	N
ABNBRONC	7	Bronchoscopy Results, Unknown	N
ABNBRONC	8	Bronchoscopy Results, Abnormal-other	N
ABNBRONC	998	Unknown if bronchoscopy performed	N
ABNBRONC	**OTHER**	Unknown	N
ABNBRONC	Null or Missing	Not Reported	N
ABO	**OTHER**	Unknown	C
ABO	A	A	C
ABO	A1	A1	C
ABO	A1B	A1B	C
ABO	A2	A2	C
ABO	A2B	A2B	C
ABO	AB	AB	C
ABO	B	B	C
ABO	Null or Missing	Not Reported	C
ABO	O	O	C
ABO	Z	Z (In Utero Only)	C
ABOMAT	1	Identical	C
ABOMAT	2	Compatible	C
ABOMAT	3	Incompatible	C
ABOMAT	Null or Missing	Unknown	C
ACADLVLKI	1	Full academic load	N
ACADLVLKI	2	Reduced academic load	N
ACADLVLKI	3	Unable to participate in academics due to disease or condition	N
ACADLVLKI	4	Unable to participate regularly in academics due to dialysis	N
ACADLVLKI	996	Not Applicable, too young for school/ High School graduate or GED	N
ACADLVLKI	998	Status Unknown	N
ACADLVLKI	**OTHER**	Unknown	N
ACADLVLKI	Null or Missing	Not Reported	N
ACADPRG	1	Within One Grade Level of Peers	N
ACADPRG	2	Delayed Grade Level	N
ACADPRG	3	Special Education	N
ACADPRG	996	Not Applicable, too young for school/ High School graduate or GED	N
ACADPRG	998	Status Unknown	N
ACADPRG	**OTHER**	Unknown	N
ACADPRG	Null or Missing	Not Reported	N
ACTIVLVL	1	No change in activity level	N
ACTIVLVL	2	Mild decrease in activity level	N
ACTIVLVL	3	Moderate decrease in activity level	N
ACTIVLVL	4	Severe decrease in activity level	N
ACTIVLVL	5	Increase in activity level	N
ACTIVLVL	6	Unknown	N
ACTIVLVL	**OTHER**	Unknown	N
ACTIVLVL	Null or Missing	Not Reported	N
ADVANCEDHEMODATA	10	Pulmonary artery catheter	N
ADVANCEDHEMODATA	20	Minimally invasive monitoring	N
ADVANCEDHEMODATA	**OTHER**	Unknown	N
ADVANCEDHEMODATA	Null or Missing	Not Reported	N
ALL_COD	998	UNKNOWN	N
ALL_COD	999	OTHER SPECIFY	N
ALL_COD	2000	GRAFT FAILURE: PRIMARY FAILURE	N
ALL_COD	2001	GRAFT FAILURE: REJECTION- HYPERACUTE	N
ALL_COD	2002	GRAFT FAILURE: REJECTION- ACUTE	N
ALL_COD	2003	GRAFT FAILURE: REJECTION- CHRONIC	N
ALL_COD	2004	GRAFT FAILURE: TECHNICAL	N
ALL_COD	2005	GRAFT FAILURE: GRAFT INFECTION	N
ALL_COD	2006	GRAFT FAILURE: RECURRENT DISEASE	N
ALL_COD	2099	GRAFT FAILURE: NON-SPECIFIC	N
