"STAR Table Name: THORACIC_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ABN_CONGEN_DON	DDR:Structural Abnormalities //Congenital:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	CHAR(1)		
ABN_LVH_DON	DDR:Structural Abnormalities //LVH:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	CHAR(1)		
ABN_VALVES_DON	DDR:Structural Abnormalities //Valves:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	CHAR(1)		
ABO	RECIPIENT BLOOD GROUP @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(3)	ABO	
ABO_DON	DONOR BLOOD TYPE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	ABO	
ABO_MAT	DONOR-RECIPIENT ABO MATCH LEVEL	CALCULATED				CHAR(1)	ABOMAT	
ACADEMIC_LEVEL_TCR	ACADEMIC ACTIVITY LEVEL AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADLVLKI	
ACADEMIC_LEVEL_TRR	ACADEMIC ACTIVITY LEVEL AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADLVLKI	
ACADEMIC_PRG_TCR	ACADEMIC PROGRESS AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADPRG	
ACADEMIC_PRG_TRR	ACADEMIC PROGRESS AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADPRG	
ACTIVATE_DATE	ALLOCATION TIME BEGINNING DATE	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
ACUTE_REJ_EPI	DID RECIPIENT HAVE ANY ACUTE REJECTION EPISODES PRE DISCHARGE?	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	REJEPIKI	
ADMISSION_DATE	RECIPIENT DATE OF ADMISSION TO TX CENTER	TRR	1999-10-25 00:00:00		PATIENT STATUS	NUM		
ADMIT_DATE_DON	DONOR ADMIT DATE	DDR	2006-04-26 00:00:00		DONOR INFORMATION	NUM		
AGE	RECIPIENT AGE (YRS)	TRR-CALCULATED	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
AGE_DON	DONOR AGE (YRS)	DDR/LDR-CALCULATED	1987-10-01 00:00:00		DONOR INFORMATION	NUM		
AGE_GROUP	RECIPIENT AGE GROUP A=ADULT P=PEDS	CALCULATED				CHAR(1)		
ALCOHOL_HEAVY_DON	Heavy Alcohol Use (heavy=2+ drinks/day)	DDR	2004-06-30 00:00:00		LIFESTYLE FACTORS	CHAR(1)		
AMIS	A LOCUS MISMATCH LEVEL	CALCULATED				NUM		
ANTIHYPE_DON	DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
ARGININE_DON	DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
BIOPSY_DGN	BIOPSY PERFORMED: NO, YES MYOCARDITIS, YES NEG. BIOPSY RESULT, YES OTHER DIAG. SPECIFY.	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	NUM		
BLOOD_INF_CONF_DON	DECEASED DONOR-INFECTION SOURCE BLOOD-CONFIRMED VIA CULTURE	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
BLOOD_INF_DON	DECEASED DONOR-BLOOD AS INFECTION SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BMI_CALC	Calculated Recipient BMI	CALCULATED				NUM		
BMI_DON_CALC	Donor BMI - Pre/At Donation Calculated	CALCULATED				NUM		
BMI_TCR	BMI AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION AT LISTING	NUM		
BMIS	B LOCUS MISMATCH LEVEL	CALCULATED				NUM		
BRONCHO_LT_DON	DDR LEFT LUNG BRONCHOSCOPY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	ABNBRONC	
BRONCHO_RT_DON	DDR RIGHT LUNG BRONCHOSCOPY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	ABNBRONC	
BUN_DON	DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
BW4	Candidate Most Recent/at Removal BW4 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
BW6	Candidate Most Recent/at Removal BW6 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	WKGRPHLA	
C1	Candidate Most Recent/at Removal C1 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
C2	Candidate Most Recent/at Removal C2 Antigen From Waiting List	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	CWHLA	
CALC_LAS_LISTDATE	Candidate Final Calculated Lung Allocation Score on Date of Listing	CALCULATED				NUM		"Candidates are sometimes registered on Waitlist with some information used to calculate LAS missing or not reported to begin accruing waiting time and being able to receive offers, and then the missing
information is reported over the next few hours. Because of this, we created this field to hold the final LAS value calculated for the candidate on the date of listing, after the listing center has had time to
report all of the candidate’s medical factors."
CANCER_FREE_INT_DON	DECEASED DONOR-CANCER FREE INTERVAL (YEARS)	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM		
CANCER_SITE_DON	DECEASED DONOR-CANCER SITE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTCAN	
CARD_IDX_INIT_DON	DDR:Cardiac Index (initial) //Cardiac Index: (L/min/sq.m)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
CARD_IDX_POST_DON	DDR:Cardiac Index (final) //Cardiac Index:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
