"STAR Table Name: THORACIC_PRA_CROSSMATCH_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
B_CELL_DONE	RH PHYSICAL CROSSMATCH DONE//WHICH B-CELL CROSSMATCH TESTS WERE PERFORMED?					NUM		
B_CELL_DONE_XMAT_AHG	RH PHYSICAL CROSSMATCH  - B-CELL CROSSMATCH CYTOTOXICITY AHG TEST RESULT					NUM		
B_CELL_DONE_XMAT_FLOW_CYTOMETRY	RH PHYSICAL CROSSMATCH  - B-CELL CROSSMATCH CYTOTOXICITY FLOW CYTOMETRY TEST RESULT					NUM		
B_CELL_DONE_XMAT_NO_AHG	RH PHYSICAL CROSSMATCH  - B-CELL CROSSMATCH CYTOTOXICITY NO AHG TEST RESULT					NUM		
B_CELL_DONE_XMAT_SOLID_PHASE	RH PHYSICAL CROSSMATCH  - B-CELL CROSSMATCH CYTOTOXICITY SOLID PHASE TEST RESULT					NUM		
CELL_SRC	RH PHYSICAL CROSSMATCH DONE //Cell Source					NUM		
CMEAS1	RH CROSSMATCH - MEASURE 1			2015-03-31 00:00:00		CHAR(16)		
CMEAS2	RH CROSSMATCH - MEASURE 2			2015-03-31 00:00:00		CHAR(16)		
CMEAS3	RH CROSSMATCH - MEASURE 3			2015-03-31 00:00:00		CHAR(16)		
CMEAS4	RH CROSSMATCH - MEASURE 4			2015-03-31 00:00:00		CHAR(16)		
CMEAS5	RH CROSSMATCH - MEASURE 5			2015-03-31 00:00:00		CHAR(16)		
CRES1	RH CROSSMATCH - RESULT 1			2015-03-31 00:00:00		CHAR(20)		
CRES2	RH CROSSMATCH - RESULT 2			2015-03-31 00:00:00		CHAR(20)		
CRES3	RH CROSSMATCH - RESULT 3			2015-03-31 00:00:00		CHAR(20)		
CRES4	RH CROSSMATCH - RESULT 4			2015-03-31 00:00:00		CHAR(20)		
CRES5	RH CROSSMATCH - RESULT 5			2015-03-31 00:00:00		CHAR(20)		
CSOURCE1	RH CROSSMATCH - TARGET 1			2015-03-31 00:00:00		CHAR(30)		
CSOURCE2	RH CROSSMATCH - TARGET 2			2015-03-31 00:00:00		CHAR(30)		
CSOURCE3	RH CROSSMATCH - TARGET 3			2015-03-31 00:00:00		CHAR(30)		
CSOURCE4	RH CROSSMATCH - TARGET 4			2015-03-31 00:00:00		CHAR(30)		
CSOURCE5	RH CROSSMATCH - TARGET 5			2015-03-31 00:00:00		CHAR(30)		
CTECH1	RH CROSSMATCH - TECHNIQUE 1			2015-03-31 00:00:00		CHAR(30)		
CTECH2	RH CROSSMATCH - TECHNIQUE 2			2015-03-31 00:00:00		CHAR(30)		
CTECH3	RH CROSSMATCH - TECHNIQUE 3			2015-03-31 00:00:00		CHAR(30)		
CTECH4	RH CROSSMATCH - TECHNIQUE 4			2015-03-31 00:00:00		CHAR(30)		
CTECH5	RH CROSSMATCH - TECHNIQUE 5			2015-03-31 00:00:00		CHAR(30)		
CTYPE1	RH CROSSMATCH - CELL TYPE 1			2015-03-31 00:00:00		CHAR(30)		
CTYPE2	RH CROSSMATCH - CELL TYPE 2			2015-03-31 00:00:00		CHAR(30)		
