"STAR Table Name: DECEASED_DONOR_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ABDOMINAL_AORTA_COOLING_DATE	DATE OF ABDOMINAL AORTA CORE COOLING	DDR	2008-03-01 00:00:00			NUM		
ABDOMINAL_AORTA_COOLING_TIME	TIME OF ABDOMINAL AORTA CORE COOLING	DDR	2008-03-01 00:00:00			NUM		
ABN_CONGEN_DON	DDR:Structural Abnormalities //Congenital:	DDR	2004-06-30 00:00:00			CHAR(1)		
ABN_LVH_DON	DDR:Structural Abnormalities //LVH:	DDR	2004-06-30 00:00:00			CHAR(1)		
ABN_VALVES_DON	DDR:Structural Abnormalities //Valves:	DDR	2004-06-30 00:00:00			CHAR(1)		
ABO_DON	BLOOD TYPE	DDR	1987-10-01 00:00:00			CHAR(3)	ABO	
ADMIT_DATE_DON	DONOR ADMIT DATE	DDR	2006-04-26 00:00:00			NUM		
ADVANCEDHEMODATAMETHOD	WERE ADVANCED HEMODYNAMIC PARAMETER DATA OBTAINED?//METHOD:	DDR	2023-09-14 00:00:00			Num	ADVANCEDHEMODATA	
ADVANCEDHEMODATAOBTAINED	WERE ADVANCED HEMODYNAMIC PARAMETER DATA OBTAINED?	DDR	2023-09-14 00:00:00			CHAR(1)		
AGE_DON	AGE IN YEARS	DDR	1987-10-01 00:00:00			NUM		
AGONAL_DATE	DATE AGONAL PHASE BEGINS	DDR	2008-03-01 00:00:00			NUM		
AGONAL_TIME	TIME AGONAL PHASE BEGINS	DDR	2008-03-01 00:00:00			NUM		
ALCOHOL_HEAVY_DON	Heavy Alcohol Use (heavy=2+ drinks/day)	DDR	2004-06-30 00:00:00			CHAR(1)		
AMPHETAMINESDURATIONUSEUNITID	TYPE OF DRUG// AMPHETAMINES: // HOW LONG WAS IT USED: // UNIT:	DDR	2023-09-14 00:00:00			NUM	DUR_USE                         	
AMPHETAMINESDURATIONUSEVALUE	TYPE OF DRUG //AMPHETAMINES://HOW LONG WAS IT USED:	DDR	2023-09-14 00:00:00			NUM	DRUG_USE                        	
AMPHETAMINESLASTUSEDDATE	TYPE OF DRUG //AMPHETAMINES://LAST USED ON:	DDR	2023-09-14 00:00:00			CHAR(33)		
AMPHETAMINESUSEROUTEID	TYPE OF DRUG //AMPHETAMINES://DRUG USE ROUTE:	DDR	2023-09-14 00:00:00			NUM		
AMYLASE_DON	SERUM AMYLASE (PA DONORS ONLY)	DDR	1999-10-25 00:00:00			NUM		
ANTIHYPE	Antihypertensives? (Y=Yes; N=No)	DonorNet				CHAR(1)		
ANTIHYPE_DON	ANTIHYPERTENSIVES PRE CROSS CLAMP	DDR	1994-04-01 00:00:00			CHAR(1)		
ARGININE	Arginine Vasopressin? (Y=Yes; N=No)	DonorNet				CHAR(1)		
ARGININE_BEGIN_DT	Arginine Vasopressin Begin Date/Time	DonorNet				NUM		
ARGININE_DON	WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00			CHAR(1)		
ARGININE_END_DT	Arginine Vasopressin End Date/Time	DonorNet				NUM		
AUTHNOTOBTAINEDREASONID	SELECT THE REASON ORGAN DONATION AUTHORIZATION WAS NOT OBTAINED:	DDR	2023-09-14 00:00:00			NUM	AUTH_REASON	
AUTHORIZATIONMETHODID	METHOD OF AUTHORIZATION USED:	DDR	2023-09-14 00:00:00			NUM	AUTH_METHOD	
AW_DISCARD_CD	DDR VCA - Abdominal Wall Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
AW_DISPOSITION	DDR VCA - Abdominal Wall Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
AW_REASON_CD	DDR VCA - Abdominal Wall Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
BLOOD_INF_CONF_DON	INFECTION BLOOD SOURCE CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00		CHAR(1)		
BLOOD_INF_DON	CLINICAL INFECTION BLOOD SOURCE	DDR	1994-04-01 00:00:00			NUM		
