"STAR Table Name: VCA_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ACTIVITY_LEVEL	LEVEL OF ACTIVITY	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
ACUTE_REJ_EPI	EPISODES OF ACUTE REJECTION	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
ACUTE_REJ_EPI_LEFT	EPISODES OF ACUTE REJECTION LEFT LIMB	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
ACUTE_REJ_EPI_RIGHT	EPISODES OF ACUTE REJECTION RIGHT LIMB	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
ANTIBACT_PROPH	Antibacterial Prophylaxis	TRF	2015-09-01 00:00:00		Treatment	CHAR(1)	YN	
ANTIBIOTIC	ANTIBIOTIC	TRF	2015-09-01 00:00:00		TREATMENT	CHAR(1)	YN	
ANTIFUNGAL	ANTIFUNGAL	TRF	2015-09-01 00:00:00		TREATMENT	CHAR(1)	YN	
ANTIFUNGAL_PROPH	Antifungal Prophylaxis	TRF	2015-09-01 00:00:00		Treatment	CHAR(1)	YN	
ANTIVIRAL	ANTIVIRAL	TRF	2015-09-01 00:00:00		TREATMENT	CHAR(1)	YN	
ANTIVIRAL_PROPH	Antiviral Prophylaxis	TRF	2015-09-01 00:00:00		Treatment	CHAR(1)	YN	
BMI	Recipient BMI	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
BODILY_PAIN_SCORE	Bodily Pain (BP) Score (0-100 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
CAN_FEEL_COLD	Can feel cold	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	CHAR(1)	YN	
CAN_FEEL_HEAT	Can feel heat	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	CHAR(1)	YN	
CARDIAC_ARREST	Cardiac arrest	TRF	2015-09-01 00:00:00		Clinical Information: Post Transplant - Major Transplant Complication	CHAR(1)	YNU	
CARROLL_SCORE_LEFT	Carroll Test Score, Left Limb (0-99 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	VCA_0_99_ND	
CARROLL_SCORE_RIGHT	Carroll Test Score, Right Limb (0-99 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	VCA_0_99_ND	
COD	Recipient Cause of Death	TRF	2015-09-01 00:00:00		PATIENT STATUS	NUM	ALL_COD	
