"STAR Table Name: LIVER_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ABO	RECIPIENT BLOOD GROUP @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(3)	ABO	
ABO_DON	DONOR BLOOD TYPE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(3)	ABO	
ABO_MAT	DONOR-RECIPIENT ABO MATCH LEVEL	CALCULATED				CHAR(1)	ABOMAT	
ACADEMIC_LEVEL_TCR	ACADEMIC ACTIVITY LEVEL AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADLVLKI	
ACADEMIC_LEVEL_TRR	ACADEMIC ACTIVITY LEVEL AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADLVLKI	
ACADEMIC_PRG_TCR	ACADEMIC PROGRESS AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	ACADPRG	
ACADEMIC_PRG_TRR	ACADEMIC PROGRESS AT TRANSPLANT	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	ACADPRG	
ACUTE_REJ_EPI	ACUTE REJECTION EPISODE BETWEEN TRANSPLANT AND DISCHARGE?	TRR	2004-06-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	REJEPIKI	
ADMISSION_DATE	RECIPIENT DATE OF ADMISSION TO TX CENTER	TRR	1999-10-25 00:00:00		PATIENT STATUS	NUM		
ADMIT_DATE_DON	DONOR ADMIT DATE	DDR	2006-04-26 00:00:00		DONOR INFORMATION	NUM		
AGE	RECIPIENT AGE (YRS)	TRR-CALCULATED	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
AGE_DON	DONOR AGE (YRS)	DDR/LDR-CALCULATED	1987-10-01 00:00:00		DONOR INFORMATION	NUM		
AGE_GROUP	RECIPIENT AGE GROUP A=ADULT P=PEDS	CALCULATED				CHAR(1)		
ALBUMIN_TX	RECIPIENT SERUM ALBUMIN  @ TRANSPLANT	WAITING LIST DATA	1987-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION - SERUM LAB DATA	NUM		
