"STAR Table Name: THORACIC_STAT2
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ADMITTEDTOHOSPITAL	Is the Candidate Currently Admitted to the Listing Center?	Adult Heart Status 2 Justification Form				NUM		
CRITERIADURABLEDEVSUPPORT	Candidate is Supported by a TAH, BiVAD, RVAD, or VAD for Single Ventricle Patients	Adult Heart Status 2 Justification Form				NUM		
CRITERIAIABPSUPPORT	Candidate is Admitted to the Listing Center and is Supported by an IABP	Adult Heart Status 2 Justification Form				NUM		
CRITERIALVADSUPPORT	Candidate is Supported by a Dischargeable LVAD	Adult Heart Status 2 Justification Form				NUM		
CRITERIAMCSDENDOVASSUPP	Candidate is Admitted to the Listing Center and is Supported by a Percutaneous Endovascular MCSD Without an Oxygenator for Cardiogenic Shock	Adult Heart Status 2 Justification Form				NUM		
CRITERIAMCSDMALFUNCTION	Candidate is Admitted to the Listing Center and is Supported by an MCSD that is Experiencing Device Malfunction	Adult Heart Status 2 Justification Form				NUM		Other Conditions Must be Satisfied
CRITERIAVENTEPISODE	Candidate is Admitted to the Listing Center and is not Considered a Candidate for Other Treatment Alternatives, and is Experiencing Recurrent or Sustained Ventricular Tachycardia or Fibrillation	Adult Heart Status 2 Justification Form				NUM		Other Conditions Must be Satisfied
DEVICERECALLEXCEPTION	Exception Request Specifically Related to a Device Recall	Adult Heart Justification Form	2022-07-14 00:00:00				YN	
EXCEPTION	Candidate Does not Meet any of the Criteria but is Admitted to the Listing Center and has an Urgency and Potential for Benefit Comparable to that of Other Candidates at this Status	Adult Heart Status 2 Justification Form				NUM		
EXTCAPWEDGEPRESSURE	Applies to Criteria 1(LVAD), Criteria 4 (Endovascular MCSD) or Criteria 5 (IABP)	Adult Heart Status 2 Justification Form				NUM		
