"STAR Table Name: THORACIC_LAS_HISTORY_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
BILI_DT	Current Bilirubin Date	WL	2015-02-19 00:00:00			NUM		
BILIRUBIN	Current Bilirubin	WL	2015-02-19 00:00:00			NUM		
BLOOD_GAS_DATE	Blood Gas Date at Current PCO2	WL	2005-05-04 00:00:00			NUM		
BLOOD_GAS_TY	Blood Gas Type at Current PCO2	WL	2005-05-04 00:00:00			NUM	BLDGAS	
BMI	BMI	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_BILI	Calculated - Current Bilirubin	CALCULATED	2015-02-19 00:00:00			NUM		
CALC_BMI	Calculated - BMI	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_CI	Calculated - Cardiac Index (CI)	CALCULATED	2006-09-13 00:00:00			NUM		
CALC_CREAT	Calculated - Current Creatinine	CALCULATED	2004-09-15 00:00:00			NUM		
CALC_CVP	Calculated - Central Venous Pressure (CVP)	CALCULATED	2006-09-13 00:00:00	2021-12-08 00:00:00		NUM		
CALC_DIABETES	Calculated - Diabetes	CALCULATED	2005-05-04 00:00:00	2021-12-08 00:00:00		CHAR(1)	LUDIAB	
CALC_FUNC_STAT	Calculated - Functional Status	CALCULATED	2008-11-01 00:00:00			NUM	FUNCSTAT	
CALC_FVC_ABS	Calculated - Actual FVC	CALCULATED	2005-05-04 00:00:00	2021-12-08 00:00:00		NUM		
CALC_FVC_PRE	Calculated - Predicted FVC	CALCULATED	2005-05-04 00:00:00	2021-12-08 00:00:00		NUM		
CALC_NYHA	Calculated - New York Heart Assoc Class	CALCULATED	2005-05-04 00:00:00	2008-11-01 00:00:00		NUM		
CALC_O2	Calculated - Oxygen Delivered	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_O2_FREQ	Calculated - Frequency of Oxygen Use	CALCULATED	2005-05-04 00:00:00			NUM	LUOXY	
CALC_PA_SYSTOLIC	Calculated - Pulmonary Artery Systolic Pressure	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_PAP_MEAN	Calculated - Mean Pulmonary Artery Pressure	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_PCO2	Calculated - Pulmonary Capillary Oxygen at Current	WL	2005-05-04 00:00:00			NUM		
CALC_PCW	Calculated - Pulmonary Capillary Wedge Mean	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_SERUM	Calculated - Serum Creatinine	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_SIX_MIN_WALK	Calculated - Six Min Walk Distance	CALCULATED	2005-05-04 00:00:00			NUM		
CALC_VENT_USE	Calculated - Assisted Ventilation	CALCULATED	2005-05-04 00:00:00			NUM	LUVENT	
CHG_DATE	Date of Waiting List Modification	WL	1987-10-01 00:00:00			NUM		
CHG_TIME	Time of Waiting List Modification	WL	1987-10-01 00:00:00			NUM		
CI	Cardiac Index (CI)	WL	2006-09-13 00:00:00			NUM		
CREAT_DT	Current Creatinine Date	WL	2004-09-15 00:00:00			NUM		
CREATININE	Current Creatinine	WL	2004-09-15 00:00:00			NUM		
CVP_INT	Central Venous Pressure (CVP)	WL	2006-09-13 00:00:00			NUM		
DIABETES	Diabetes	WL	2005-05-04 00:00:00			CHAR(1)	LUDIAB	
DIABETES_DATE	Diabetes Date	WL	2005-05-04 00:00:00			NUM		
EXPIRE_DATE	Expiration Date	WL	2005-05-04 00:00:00			NUM		
FEV_POST_ACT	Actual Post Bronchodilator FEV	WL	2005-05-04 00:00:00			NUM		
FEV_POST_PCT	Percent Post Post BronchodilatorFEV	WL	2005-05-04 00:00:00			NUM		
FEV_PRE_ACT	Actual Predicted Pre Bronchodilator FEV	WL	2005-05-04 00:00:00			NUM		
FEV_PRE_PCT	Percent Predicted Pre Bronchodilator FEV	WL	2005-05-04 00:00:00			NUM		
FUNC_STAT	Functional Status	WL	2008-11-01 00:00:00			NUM	FUNCSTAT	
