"STAR Table Name: LIVING_DONOR_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ABO	Donor ABO	LDR	1987-10-01 00:00:00		Donor Information	CHAR(3)	ABO	
AGE_DON	Donor Age in Years	CALC	1987-10-01 00:00:00		Calculated	NUM		
ARRHYTHMIA	Arrhythmia Requiring Therapy	LDR	2004-06-30 00:00:00		Lung Surgical Information	NUM	ARRHYTH	
ARRHYTHMIA_POSTOP	Arrhythmia Requiring Therapy Post-Op	LDR	2004-06-30 00:00:00		Lung Related Post-Operative Complications (First 6 Weeks)	NUM	ARRHYTH	
BILIARY_COMP	Biliary Complications	LDR	2004-06-30 00:00:00		Liver Related Post-Operative Complications (First 6 Weeks)	CHAR(1)		
BILIARY_COMP_GRADE	If Biliary Complications, give grade	LDR	2004-06-30 00:00:00		Liver Related Post-Operative Complications (First 6 Weeks)	NUM	BILICOMP	
BIOPSY_LI	Liver Biopsy? (Y/N)	LDR	2004-06-30 00:00:00		Pre-Donation Liver CLINICAL INFORMATION	CHAR(1)		
BP_POSTOP_DIAST	Post-Operative Blood Pressure Diastolic	LDR	2004-06-30 00:00:00		Post-Operative CLINICAL INFORMATION (Within 6 weeks)	NUM		
BP_POSTOP_SYST	Post-Operative Blood Pressure Systolic	LDR	2004-06-30 00:00:00		Post-Operative CLINICAL INFORMATION (Within 6 weeks)	NUM		
BP_PREOP_DIAST	Preoperative Blood Pressure Diastolic	LDR	1999-10-25 00:00:00		Pre-Donation Kidney CLINICAL INFORMATION	NUM		
BP_PREOP_SYST	Preoperative Blood Pressure Systolic	LDR	1999-10-25 00:00:00		Pre-Donation Kidney CLINICAL INFORMATION	NUM		
CANCER_FREE	Cancer Free Interval if History of Cancer	LDR	2004-06-30 00:00:00		Pre-Donation CLINICAL INFORMATION	NUM		
CITIZEN_COUNTRY	Donor Country of Permanent Residence 	LDR	2015-03-31 00:00:00		Donor Information	CHAR(3)	CTRY	
CITIZENSHIP	Donor Citizenship	LDR	1987-10-01 00:00:00		Donor Information	NUM	CITIZEN	
CMV_IGG	CMV IgG Result	LDR	1999-10-25 00:00:00		Pre-Donation CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_IGM	CMV IgM Result	LDR	1999-10-25 00:00:00		Pre-Donation CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_NUCLEIC	CMV Nucleic Acid Testing Result	LDR	1999-10-25 00:00:00		Pre-Donation CLINICAL INFORMATION	CHAR(2)	SERSTAT	
CMV_TOTAL	CMV Total 	LDR	2015-03-31 00:00:00		Pre-Donation CLINICAL INFORMATION	CHAR(2)	SERSTAT	
