"STAR Table Name: LIVER_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT	ALSO COLLECTED POST-5 YRS?
ACADEMIC_LEVEL	RECIPIENT ACADEMIC ACTIVITY LEVEL  (FOR RECIP. AGE <19)	LIF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADLVLKI		
ACADEMIC_PRG	RECIPIENT ACDEMIC PROGRESS  (FOR RECIP. AGE <19)	LIF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADPRG		
ACUTE_REJ_EPI	EPISODES OF ACUTE REJECTION	LIF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	REJEPIKI		
BMI	Recipient BMI (AVAILABLE FOR PEDS ONLY SINCE 1/1/2007)	LIF	2004-06-30 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
CARE_PROVIDED_BY	Follow-Up Care Provided By	LIF	1999-10-25 00:00:00		Provider Information	NUM	FOLCAREP		YES
COD	Recipient Cause of Death	LIF	1987-10-01 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		YES
COD2	Recipient Contributory Cause of Death	LIF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		
COD3	Recipient Contributory Cause of Death	LIF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		
COGNITIVE_DEV	COGNITIVE DEVELOPMENT (PEDS ONLY)	LIF	2008-03-01 00:00:00		Patient Status at Time of Follow-Up	NUM	COGNITIVE_DEV		YES (FOR PEDS)
CORART	Coronary Artery Disease since last Follow-up	LIF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES (FOR PEDS)
CREAT	Recipient Most Recent Lab during the Follow-up Period --- Serum Creatinine (mg/dl)	LIF	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM			YES
DIABETES_DURING	Recipient Diabetes During Followup Period?	LIF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			
FOL_CD	Follow-up Code	LIF				NUM	FOLCD		
FOL_CTR_CODE	Follow-up Center - Encrypted	LIF				CHAR(7)			
FUNC_STAT	Functional Status at Follow-Up	LIF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	NUM	FUNCSTAT		YES (FOR PEDS)
GRF_DC	Contributory Cause of Graft Failure ---DIFFUSE CHOLANGIOPATHY	LIF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)		"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"	YES
GRF_FAIL_DATE	Date of Graft Failure	LIF	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		Not collected 04/01/1994 through 10/25/1999.	YES
GRF_NF	Contributory Cause of Graft Failure --- PRIMARY NON-FUNCTION	LIF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)		"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"	YES
