"STAR Table Name: THORACIC_IMMUNO_DISCHARGE_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ALDESLEUKIN_ANTIREJ	ALDESLEUKIN ANTIREJECTION (SUPPRESSOR INDUCER)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ALDESLEUKIN_DAYS	ALDESLEUKIN # OF DAYS INDUCTION (SUPPRESSOR INDUCER)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ALDESLEUKIN_IND	ALDESLEUKIN INDUCTION AT TIME OF TX (SUPPRESSOR INDUCER)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ALDESLEUKIN_MAINT	ALDESLEUKIN MAINTENANCE AT TIME OF TX (SUPPRESSOR INDUCER)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ALG_ANTIREJ	ALG ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ALG_DAYS	ALG # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1995-04-01 00:00:00	1996-04-01 00:00:00		NUM		FLAG: ALS/ALG combined and seperated at different time depending on organ.
ALG_IND	ALG INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1994-04-01 00:00:00	1996-04-01 00:00:00		NUM		10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ALG_MAINT	ALG MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ANTIICAM1_ANTIREJ	ANTIICAM1 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIICAM1_DAYS	ANTIICAM1 # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIICAM1_IND	ANTIICAM1 INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIICAM1_MAINT	ANTIICAM1 MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIIL6_ANTIREJ	ANTIIL6 ANTIREJECTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIIL6_DAYS	ANTIIL6 # OF DAYS INDUCTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIIL6_IND	ANTIIL6 INDUCTION AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIIL6_MAINT	ANTIIL6 MAINTENANCE AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTILFA1_ANTIREJ	ANTILFA1 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		
ANTILFA1_DAYS	ANTILFA1 # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		
ANTILFA1_IND	ANTILFA1 INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		
ANTILFA1_MAINT	ANTILFA1 MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		
ANTITNF_ANTIREJ	ANTITNF ANTIREJECTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ANTITNF_DAYS	ANTITNF # OF DAYS INDUCTION (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ANTITNF_IND	ANTITNF INDUCTION AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ANTITNF_MAINT	ANTITNF MAINTENANCE AT TIME OF TX (CYTOKINE INHIBITOR)	TRR	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ASTAGRAFXL_MAINT	ASTAGRAFXL MAINTENANCE AT TIME OF TX	TRR	2007-02-07 00:00:00			NUM		name changed from ADVAGRAF to ASTAGRFXL as of 12/18/2013
ATGAM_ANTIREJ	ATGAM ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1994-04-01 00:00:00			NUM		04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG till 3/31/2015
ATGAM_DAYS	ATGAM # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1995-04-01 00:00:00			NUM		04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG till 3/31/2015
ATGAM_IND	ATGAM INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1994-04-01 00:00:00			NUM		04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG till 3/31/2015
ATGAM_MAINT	ATGAM MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG till 3/31/2015
BREQUINARSODIUM_ANTIREJ	BREQUINARSODIUM ANTIREJECTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
BREQUINARSODIUM_DAYS	BREQUINARSODIUM # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
BREQUINARSODIUM_IND	BREQUINARSODIUM INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
BREQUINARSODIUM_MAINT	BREQUINARSODIUM MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CAMPATH_ANTIREJ	CAMPATH ANTIREJECTION	TRR	2003-05-28 00:00:00			NUM		collected as CAMPATHALEMTUZUMAB till 3/31/2015
CAMPATH_DAYS	CAMPATH # OF DAYS INDUCTION	TRR	2003-05-28 00:00:00			NUM		collected as CAMPATHALEMTUZUMAB till 3/31/2015
CAMPATH_IND	CAMPATH INDUCTION AT TIME OF TX 	TRR	2003-05-28 00:00:00			NUM		collected as CAMPATHALEMTUZUMAB till 3/31/2015
CAMPATH_MAINT	CAMPATH MAINTENANCE AT TIME OF TX 	TRR	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		collected as CAMPATHALEMTUZUMAB till 3/31/2015
CELLCEPT_ANTIREJ	CELLCEPT ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CELLCEPT_DAYS	CELLCEPT # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CELLCEPT_IND	CELLCEPT INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CELLCEPT_MAINT	CELLCEPT MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1994-04-01 00:00:00			NUM		
CYCLOSPORIN_ANTIREJ	CYCLOSPORIN ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		
CYCLOSPORIN_DAYS	CYCLOSPORIN # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	1996-04-01 00:00:00		NUM		
CYCLOSPORIN_IND	CYCLOSPORIN INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1994-04-01 00:00:00	1996-04-01 00:00:00		NUM		
CYCLOSPORIN_MAINT	CYCLOSPORIN MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		
CYTOXAN_ANTIREJ	CYTOXAN ANTIREJECTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00			NUM		
CYTOXAN_DAYS	CYTOXAN # OF DAYS INDUCTION (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CYTOXAN_IND	CYTOXAN INDUCTION AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CYTOXAN_MAINT	CYTOXAN MAINTENANCE AT TIME OF TX (ANTIMETABOLITE)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DAB486IL2_ANTIREJ	DAB486IL2 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DAB486IL2_DAYS	DAB486IL2 # OF DAYS INDUCTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DAB486IL2_IND	DAB486IL2 INDUCTION AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DAB486IL2_MAINT	DAB486IL2 MAINTENANCE AT TIME OF TX (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DEOXYSPERGUALIN_ANTIREJ	DEOXYSPERGUALIN ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DEOXYSPERGUALIN_DAYS	DEOXYSPERGUALIN # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DEOXYSPERGUALIN_IND	DEOXYSPERGUALIN INDUCTION AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DEOXYSPERGUALIN_MAINT	DEOXYSPERGUALIN MAINTENANCE AT TIME OF TX (T-CELL ACTIVATION INHIBITOR)	TRR	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ENVARSUSXR_ANTIREJ	ENVARSUS XR ANTIREJECTION (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
ENVARSUSXR_DAYS	ENVARSUS XR # OF DAYS INDUCTION (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
ENVARSUSXR_IND	ENVARSUS XR INDUCTION AT TIME OF TX (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
ENVARSUSXR_MAINT	ENVARSUS XR MAINTENANCE AT TIME OF TX (TACROLIMUS)	TRR	2018-05-23 00:00:00			NUM		
EON_ANTIREJ	EON ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRR	2001-11-09 00:00:00	2003-05-28 00:00:00		NUM		
EON_DAYS	EON # OF DAYS INDUCTION (T-CELL ACTIVATION INHIBITOR)	TRR	2001-11-09 00:00:00	2003-05-28 00:00:00		NUM		
