"STAR Table Name: PANCREAS_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT	ALSO COLLECTED POST-5 YRS?
ACADEMIC_LEVEL	RECIPIENT ACADEMIC ACTIVITY LEVEL (FOR RECIP. AGE <19)	PAF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADLVLKI		
ACADEMIC_PRG	RECIPIENT ACDEMIC PROGRESS (FOR RECIP. AGE <19)	PAF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADPRG		
ACUTE_REJ_EPI	EPISODES OF ACUTE REJECTION	PAF	2004-06-30 00:00:00		Clinical Information	NUM	REJEPIKI		
ANAST_LK	Contributory Cause of Pancreas Graft Failure --- Anastomotic Leak	PAF	1994-04-01 00:00:00		Clinical Information	CHAR(1)			YES
BIOP_ISLET	Contributory Cause of Pancreas Graft Failure --- Biopsy Proven Isletitis	PAF	1994-04-01 00:00:00		Clinical Information	CHAR(1)			YES
BLEED	Contributory Cause of Pancreas Graft Failure --- Bleeding	PAF	1994-04-01 00:00:00		Clinical Information	CHAR(1)			YES
BLOOD_SUGAR_DIET	PATIENT USING DIET TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BLOOD_SUGAR_MED_RESUMED_DT	DATE MEDICATIONS RESUMED	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM			
BLOOD_SUGAR_MED_RESUMED_DT_I	DATE MEDICATIONS RESUMED ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BLOOD_SUGAR_MEDICATION	PATIENT ON ORAL MEDICATION TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BMI	Recipient BMI (AVAILABLE FOR PEDS ONLY SINCE 1/1/2007)	PAF	2004-06-30 00:00:00	2007-01-01 00:00:00	Clinical Information	NUM		AVAILABLE FOR PEDS ONLY SINCE 1/1/2007	YES (FOR PEDS)
C_PEPTIDE	C-PEPTIDE VALUE	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM			
