"STAR Table Name: THORACIC_IMMUNO_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ALDESLEUKIN_ANTIREJ	ALDESLEUKIN ANTIREJECTION (SUPPRESSOR INDUCER)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ALDESLEUKIN_MAINT_CUR	ALDESLEUKIN CURRENT MAINTENANCE AT TIME OF FOLLOWUP (SUPPRESSOR INDUCER)	TRF	1999-10-25 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ALDESLEUKIN_MAINT_PREV	ALDESLEUKIN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (SUPPRESSOR INDUCER)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ALG_ANTIREJ	ALG ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ALG_MAINT_CUR	ALG CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. 10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ALG_MAINT_PREV	ALG MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. 10/01/1987- 04/01/1994 collected as ALS/ALG. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS
ANTIICAM1_ANTIREJ	ANTIICAM1 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIICAM1_MAINT_CUR	ANTIICAM1 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTIICAM1_MAINT_PREV	ANTIICAM1 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTIIL6_ANTIREJ	ANTIIL6 ANTIREJECTION (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
ANTIIL6_MAINT_CUR	ANTIIL6 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTIIL6_MAINT_PREV	ANTIIL6 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTILFA1_ANTIREJ	ANTILFA1 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		
ANTILFA1_MAINT_CUR	ANTILFA1 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2001-01-11 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTILFA1_MAINT_PREV	ANTILFA1 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2001-01-11 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTITNF_ANTIREJ	ANTITNF ANTIREJECTION (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		
ANTITNF_MAINT_CUR	ANTITNF CURRENT MAINTENANCE AT TIME OF FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1999-10-25 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ANTITNF_MAINT_PREV	ANTITNF MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (CYTOKINE INHIBITOR)	TRF	1996-04-01 00:00:00	2001-01-10 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ASTAGRAFXL_MAINT_CUR	ASTAGRAFXL CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2007-02-07 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev., name change from ADVAGRAF to ASTAGRFXL as of 12/18/2013
ASTAGRAFXL_MAINT_PREV	ASTAGRAFXL MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	2007-02-07 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev., name change from ADVAGRAF to ASTAGRFXL as of 12/18/2013
ATGAM_ANTIREJ	ATGAM ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1994-04-01 00:00:00			NUM		04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG  till 3/31/2015
ATGAM_MAINT_CUR	ATGAM CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
ATGAM_MAINT_PREV	ATGAM MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. 04/01/1994-04/01/1996 collected as ALG/ATG/ATS 04/01/1996 and later collected as ATG till 3/31/2015
BREQUINARSODIUM_ANTIREJ	BREQUINARSODIUM ANTIREJECTION (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
BREQUINARSODIUM_MAINT_CUR	BREQUINARSODIUM CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
BREQUINARSODIUM_MAINT_PREV	BREQUINARSODIUM MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
CAMPATH_ANTIREJ	CAMPATH ANTIREJECTION 	TRF	2003-05-28 00:00:00			NUM		collected as CAMPATHALEMTUZUMAB till 3/31/2015
CAMPATH_MAINT_CUR	CAMPATH CURRENT MAINTENANCE AT TIME OF FOLLOWUP 	TRF	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as CAMPATHALEMTUZUMAB till 3/31/2015
CAMPATH_MAINT_PREV	CAMPATH MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP 	TRF	2003-05-28 00:00:00	2004-06-30 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev. collected as CAMPATHALEMTUZUMAB till 3/31/2015
CELLCEPT_ANTIREJ	CELLCEPT ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1994-04-01 00:00:00	2003-05-28 00:00:00		NUM		
CELLCEPT_MAINT_CUR	CELLCEPT CURRENT MAINTENANCE AT TIME OF FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1999-10-25 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
CELLCEPT_MAINT_PREV	CELLCEPT MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1994-04-01 00:00:00			NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
CYCLOSPORIN_ANTIREJ	CYCLOSPORIN ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		
CYCLOSPORIN_MAINT_PREV	CYCLOSPORIN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (T-CELL ACTIVATION INHIBITOR)	TRF	1987-10-01 00:00:00	1996-04-01 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
CYTOXAN_ANTIREJ	CYTOXAN ANTIREJECTION (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00			NUM		
CYTOXAN_MAINT_CUR	CYTOXAN CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTIMETABOLITE)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
CYTOXAN_MAINT_PREV	CYTOXAN MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTIMETABOLITE)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
DAB486IL2_ANTIREJ	DAB486IL2 ANTIREJECTION (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
DAB486IL2_MAINT_CUR	DAB486IL2 CURRENT MAINTENANCE AT TIME OF FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1999-10-25 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
DAB486IL2_MAINT_PREV	DAB486IL2 MAINTENANCE BETWEEN LAST FOLLOWUP AND THIS FOLLOWUP (ANTI-LYMPHOCYTE RECEPTOR ANTIBODY)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		All maint data collected prior to 10/25/99 was converted into maint_prev.
DEOXYSPERGUALIN_ANTIREJ	DEOXYSPERGUALIN ANTIREJECTION (T-CELL ACTIVATION INHIBITOR)	TRF	1996-04-01 00:00:00	2003-05-28 00:00:00		NUM		
