"STAR Table Name: PANCREAS_MALIG_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
BLADDER	DeNovo Solid Tumor - Bladder	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
BLADDER_DONOR	Donor Related Tumor - Bladder	MAL	2015-03-31 00:00:00		Post Transplant Donor Relatedr	NUM		
BREAST	DeNovo Solid Tumor - Breast	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
BREAST_DONOR	Donor Related Tumor - Breast	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
COLORECTAL	DeNovo Solid Tumor - Colo-rectal	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
COLORECTAL_DONOR	Donor Related Tumor - Colo-rectal	MAL	2015-03-31 00:00:00		Post Transplant DONOR Related	NUM		
DX_DATE_LYMPH	Date of Diagnosis of PTLD	MAL	1999-10-25 00:00:00		Post Transplant Lymphoproliferative Disease and Lymphom	NUM		
DX_DATE1	Date of Diagnosis: Squamous Cell	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
DX_DATE10	Date of Diagnosis: Ovarian	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
DX_DATE101	Donor Related Tumor - Date of Diagnosis: Squamous Cell	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE102	Donor Related Tumor - Date of Diagnosis: Basal Cell	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE103	Donor Related Tumor - Date of Diagnosis: Melanoma	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE104	Donor Related Tumor - Date of Diagnosis: Kaposis's Sarcoma - Cutaneous	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE105	Donor Related Tumor - Date of Diagnosis: Kaposis's Sarcoma - Visceral	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE106	Donor Related Tumor - Date of Diagnosis: Brain Tumor	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE107	Donor Related Tumor - Date of Diagnosis: Renal Carcinoma	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE108	Donor Related Tumor - Date of Diagnosis: Carcinoma of Vulva, Perineum or Penis, Scrotum	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE109	Donor Related Tumor - Date of Diagnosis: Carcinoma of the Uterus	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE11	Date of Diagnosis: Testicular	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
DX_DATE110	Donor Related Tumor - Date of Diagnosis: Ovarian	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE111	Donor Related Tumor - Date of Diagnosis: Testicular	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE112	Donor Related Tumor - Date of Diagnosis: Esophagus	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE113	Donor Related Tumor - Date of Diagnosis: Stomach	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE114	Donor Related Tumor - Date of Diagnosis: Small Intestine	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE115	Donor Related Tumor - Date of Diagnosis: Pancreas	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE116	Donor Related Tumor - Date of Diagnosis: Larynx	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE117	Donor Related Tumor - Date of Diagnosis: Tongue, Throat	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE118	Donor Related Tumor - Date of Diagnosis: Thyroid	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE119	Donor Related Tumor - Date of Diagnosis: Bladder	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE12	Date of Diagnosis: Esophagus	MAL	1999-10-25 00:00:00		Post Transplant De Novo Solid Tumor	NUM		
DX_DATE120	Donor Related Tumor - Date of Diagnosis: Breast	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE121	Donor Related Tumor - Date of Diagnosis: Prostate	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
DX_DATE122	Donor Related Tumor - Date of Diagnosis: Colo-Rectal	MAL	2015-03-31 00:00:00		Post Transplant Donor Related	NUM		
