"STAR Table Name: INTESTINE_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT	ALSO COLLECTED POST-5 YRS?
ACADEMIC_LEVEL	RECIPIENT ACADEMIC ACTIVITY LEVEL (FOR RECIP. AGE <19)	INF 	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADLVLKI		NO
ACADEMIC_PRG	RECIPIENT ACDEMIC PROGRESS  (FOR RECIP. AGE <19)	INF 	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADPRG		NO
ACUTE_REJ_EPI	EPISODES OF ACUTE REJECTION	INF 	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	REJEPIKI		NO
BMI	Recipient BMI (AVAILABLE FOR PEDS ONLY SINCE 1/1/2007)	INF 	2004-06-30 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
CARE_PROVIDED_BY	Follow-Up Care Provided By	INF	1999-10-25 00:00:00		Provider Information	NUM	FOLCAREP		YES
COD	Recipient Cause of Death	INF 	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		YES
COD2	Recipient Contributory Cause of Death	INF 	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		NO
COD3	Recipient Contributory Cause of Death	INF 	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		NO
COGNITIVE_DEV	COGNITIVE DEVELOPMENT (PEDS ONLY)	INF	2008-03-01 00:00:00		Patient Status at Time of Follow-Up	NUM	COGNITIVE_DEV		YES (FOR PEDS)
CORART	Coronary Artery Disease since last Follow-up	INF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES (FOR PEDS)
CREAT	Recipient Most Recent Lab during the Follow-up Period --- Serum Creatinine (mg/dl)	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM			YES
DIABETES_DURING	Recipient Diabetes During Followup Period?	INF 	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			NO
FOL_CD	Follow-up Code	INF				NUM	FOLCD		NO
FOL_CTR_CODE	Follow-up Center - Encrypted	INF				CHAR(7)			NO
FUNC_STAT	Functional Status at Follow-Up	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	NUM	FUNCSTAT		YES (FOR PEDS)
GRF_FAIL_CAUSE_TY	Cause of Graft Failure	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	INGRFL		YES
GRF_FAIL_DATE	Date of Graft Failure	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		Not collected 04/01/1994 through 10/25/1999.	YES
GRF_STAT	Graft Status at Time of Follow-Up (Y=Functioning, N=Failed)	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	GRFSTAT		YES
HBSAG	Recipient Serology Result at the Follow-Up --- HbsAg	INF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HBV_CORE	Recipient Serology Result at the Follow-Up --- HBV CORE ANTIBODY	INF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HBV_DNA	Recipient Serology Result at the Follow-Up --- HBV DNA	INF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HCV_NAT	Recipient Serology Result at the Follow-Up --- HCV NAT	INF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HCV_SEROLOGY	Recipient Serology Result at the Follow-Up --- HCV SEROLOGY	INF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HGT_CM	Recipient Height in Centimeters at Follow-Up (COLLECTED ON PEDS ONLY SINCE 1/1/2007)	INF	1994-04-01 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM			YES (FOR PEDS)
HIV_NAT	HIV_NAT	INF 	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HIV_SEROLOGY	HIV_SEROLOGY	INF 	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		NO
HOSP	Hospitalizations during Follow-Up Period	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)		This field was collected as 'Transplant related hospitalization since last Follow-up' between 4/1/95 to 10/25/99.	NO
IMMUNO_MAINT_MED	Any Medications Given during follow-up for Maintenance or Anti-Rejection?	INF	1999-10-25 00:00:00		Treatment	NUM	IMMUNOMAINTMED		NO
INSULIN_DEPENDENT	Diabetes-Insulin Dependent	INF 	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)			NO
IV_DEPND	If Recipient Was IV Dependent During Follow-Up Period	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			NO
LAB_DATE	Recipient Most Recent Lab Date during the Follow-up Period	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM			NO
MEASUREMENT_DATE	Date of Weight and Height Measurment  (PEDS ONLY)	INF	2008-03-08 00:00:00		CLINICAL INFORMATION	NUM			YES (FOR PEDS)
MEASUREMENT_DT_HT	Date of Height Measurment (PEDS ONLY)	INF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MEASUREMENT_DT_WT	Date of Weight Measurment (PEDS ONLY)	INF	2022-08-30 00:00:00		CLINICAL INFORMATION				YES (FOR PEDS)
MOTOR_DEV	Motor Development (PEDS only)	INF	2008-03-08 00:00:00		Patient Status	NUM	MOTOR_DEV		YES (FOR PEDS)
ORAL_FEED	If Recipient Was On Oral Feeding During Follow-Up Period	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			NO
PERM_STATE	Recipient Permanent Residential State	INF	2003-01-27 00:00:00		Recipient Information	CHAR(2)	STATE		YES
PRI_PAYMENT	RECIPIENT PRIMARY SOURCE OF PAYMENT	INF 	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	PRIMPAY		NO
PRI_PAYMENT_CTRY	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE	INF 	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	CHAR(3)			NO
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM			NO
PX_STAT	Recipient Status at Time of Follow-Up(Died, ReTX, Lost, Not Seen, Alive)	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)	PXSTAT		YES
PX_STAT_DATE	Recipient Status Date at Time of Follow-Up	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	NUM			YES
RETXDATE	Date of Retransplant	calculated				NUM			NO
STATUS_TRF	TRF Form Status	INF				CHAR(1)	FRMSTAT		NO
TBILI	Recipient Most Recent Lab during the Follow-up Period --- Total Bilirubin (mg/dl)	INF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM			NO
TPN_DEPND	If Recipient Was TPN Dependent During Follow-Up Period	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			NO
TRR_FOL_ID_CODE	ENCRYPTED FOLLOW-UP IDENTIFIER	CALCULATED				CHAR(15)			NO
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)			NO
TRT_REJ	Patient Treated for Rejection (Y/N/U) during Follow-Up Period	INF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)			NO
TRT_REJ_NUM	Number of Rejection Events during Follow-Up Period	INF	2003-01-27 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM			NO
TUBE_FEED	If Recipient Was On Tube Feeding During Follow-Up Period	INF	1994-04-01 00:00:00		Patient Status at Time of Follow-Up	CHAR(1)			NO
VAL_DT_TRF	TRF Validation Date	INF				NUM			NO
