"STAR Table Name: THORACIC_STAT1
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
ADMITTEDTOHOSPITAL	Is the Candidate Currently Admitted to the Listing Center?	Adult Heart Status 1 Justification Form				NUM		
BIVADPLACEMENT	MCSD - Placement of a Biventricular Mechanical Circulatory Support Device for the Treatment of Sustained Ventricular Arrhythmias	Adult Heart Status 1 Justification Form				NUM		
CARDIACINDEXINOTROPESUPPORT	VA ECMO - Was the Candidate on Inotropes at the Time Cardiac Index was Obtained?	Adult Heart Status 1 Justification Form				CHAR(1)		
CRITERIABIVADSUPPORT	Candidate is Admitted to the Listing Center and is Supported by a Surgically Implanted, non-Endovascular Biventricular Support Device and Must Remain Hospitalized	Adult Heart Status 1 Justification Form				NUM		
CRITERIAECMOSUPPORT	Candidate is Admitted to the Listing Center and is Supported by VA ECMO for Cardiogenic Shock	Adult Heart Status 1 Justification Form				NUM		
CRITERIAMCSDSUPPORT	Candidate is Admitted to the Listing Center and is Supported by an MCSD and is Experiencing Recurrent or Sustained Ventricular Tachycardia or Ventricular Fibrillation	Adult Heart Status 1 Justification Form				NUM		
DEVICERECALLEXCEPTION	Exception Request Specifically Related to a Device Recall	Adult Heart Status 1 Justification Form	2022-07-14 00:00:00				YN	
ECMOCAPWEDGEPRESSURE	VA ECMO - Hemodynamic Measurements were Obtained  - Pulmonary Capillary Wedge Pressure (mmHg)	Adult Heart Status 1 Justification Form				NUM		
ECMOCAPWEDGEPRESSUREDT	VA ECMO - Hemodynamic Measurements were Obtained - Pulmonary Capillary Wedge Pressure Test Date	Adult Heart Status 1 Justification Form				NUM		
ECMOCARDIACINDEX	VA ECMO - Hemodynamic Measurements were Obtained - Cardiac Index (L/min/m2)	Adult Heart Status 1 Justification Form				NUM		
ECMOCARDIACINDEXDT	VA ECMO - Hemodynamic Measurements were Obtained -Cardiac Index Date	Adult Heart Status 1 Justification Form				NUM		
ECMOSYSTOLICBLOODPRESSURE	VA ECMO - Hemodynamic Measurements were Obtained - Systolic Blood Pressure (mmHg)	Adult Heart Status 1 Justification Form				NUM		
ECMOSYSTOLICBLOODPRESSUREDT	VA ECMO - Hemodynamic Measurements were Obtained - Systolic Blood Pressure Date	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHHEMO	VA ECMO - Hemodynamic Measurements were Obtained	Adult Heart Status 1 Justification Form				NUM		Other Conditions Must be Satisfied
ECMOWITHOUTHEMO	VA ECMO - Hemodynamic Measurements were not Obtained	Adult Heart Status 1 Justification Form				NUM		Other Conditions Must be Satisfied
ECMOWITHOUTHEMOALT	VA ECMO - Hemodynamic Measurements were not Obtained - Alanine Transaminase (U/L)	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOALTDT	VA ECMO - Hemodynamic Measurements were not Obtained - Alanine Transaminase Date	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOARTLAC	VA ECMO - Hemodynamic Measurements were not Obtained - Arterial Lactate (mmol/L)	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOARTLACDT	VA ECMO - Hemodynamic Measurements were not Obtained - Arterial Lactate Date	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOAST	VA ECMO - Hemodynamic Measurements were not Obtained - Aspartate Transaminase (U/L)	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOASTDT	VA ECMO - Hemodynamic Measurements were not Obtained - Aspartate Transaminase Date	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOCPRDT	VA ECMO - Hemodynamic Measurements were not Obtained - Date of Administration of CPR	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOSBP	VA ECMO - Hemodynamic Measurements were not Obtained - Systolic Blood Pressure (mmHg)	Adult Heart Status 1 Justification Form				NUM		
ECMOWITHOUTHEMOSBPDT	VA ECMO - Hemodynamic Measurements were not Obtained - Systolic Blood Pressure Date	Adult Heart Status 1 Justification Form				NUM		
EXCEPTION	Candidate Does not Meet any of the Criteria but is Admitted to the Listing Center and has an Urgency and Potential for Benefit Comparable to that of Other Candidates at this Status	Adult Heart Status 1 Justification Form				NUM		
