"STAR Table Name: KIDPAN_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT	ALSO COLLECTED POST-5 YRS?
ACADEMIC_LEVEL	RECIPIENT ACADEMIC ACTIVITY LEVEL (FOR RECIP.AGE<19)	KPF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADLVLKI		
ACADEMIC_PRG	RECIPIENT ACDEMIC PROGRESS (FOR RECIP.AGE<19)	KPF	2004-06-30 00:00:00	2015-03-30 00:00:00	Patient Status	NUM	ACADPRG		
ACUTE_REJ_EPI	EPISODES OF ACUTE KIDNEY REJECTION	KPF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	REJEPIKI		
ACUTE_REJ_EPI_PA	EPISODES OF ACUTE PANCREAS REJECTION	KPF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	REJEPIKI		
ANAST_LK	Contributory Cause of Pancreas Graft Failure --- Anastomotic Leak	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
AVN	Avascular Necrosis (PEDS ONLY)	KPF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BIOP_ISLET	Contributory Cause of Pancreas Graft Failure --- Biopsy Proven Isletitis	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
BLEED	Contributory Cause of Pancreas Graft Failure --- Bleeding	KPF	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)			YES
BLOOD_SUGAR_DIET_PA	PANCREAS PATIENT USING DIET TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BLOOD_SUGAR_MED_RESUMED_DT_PA	PANCREAS DATE MEDICATIONS RESUMED	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM			
BLOOD_SUGAR_MED_RESUMED_DT_PA_I	PANCREAS DATE MEDICATIONS RESUMED ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BLOOD_SUGAR_MEDICATION_PA	PANCREAS PATIENT ON ORAL MEDICATION TO CONTROL BLOOD SUGAR	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)			
BMI	Recipient BMI (AVAILABLE FOR PEDS ONLY SINCE 1/1/2007)	KPF	2004-06-30 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	NUM		AVAILABLE FOR PEDS ONLY SINCE 1/1/2007	YES (FOR PEDS)
C_PEPTIDE_I	PANCREAS C-PEPTIDE VALUE ST=	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	CHAR(1)			
C_PEPTIDE_PA	PANCREAS C-PEPTIDE VALUE	KPF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM			
CARE_PROVIDED_BY	Follow-Up Care Provided By	KPF	2003-01-27 00:00:00		Provider Information	NUM	FOLCAREP		YES
CMV_IGG	Recipient Serology Result at the Follow-Up --- CMV IgG (1 and 2 years post-transplant only)	KPF	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
CMV_IGM	Recipient Serology Result at the Follow-Up --- CMV IgM (1 and 2 years post-transplant only)	KPF	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT		
COD	Recipient Cause of Death	KPF	2003-01-27 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		YES
COD2	Recipient Contributory Cause of Death	KPF	2004-06-30 00:00:00		Patient Status at Time of Follow-Up	NUM	ALL_COD		
