"STAR Table Name: THORACIC_WLHISTORY_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
CANDHISTNUMHOSPADMN	Candidate History - Number of Hospital Admissions in the Last 12 Months	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CANDHISTNUMHOSPADMNST	Candidate History - Number of Hospital Admissions in the Last 12 Months/Not Available	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CANDHISTNUMSTERNOTOMIES	Candidate History - Total Number of Prior Sternotomies	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CANDHISTNUMSTERNOTOMIESST	Candidate History - Total Number of Prior Sternotomies/Not Available	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CANDHISTSTROKE	Candidate History - Any Prior History of Stroke?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CANDHISTTHROMB	Candidate History - Any Prior History of Peripheral Thromboembolic Events?	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	CHAR(1)		
CHANGEDATE	Date of Waiting List Modification	WAITING LIST DATA			WAITING LIST DATA	NUM		
CHG_DATE	DATE OF WAITING LIST MODIFICATION	WAITING LIST DATA	1995-04-01 00:00:00		WAITING LIST DATA	NUM		
CHG_TIME	TIME OF WAITING LIST MODIFICATION	WAITING LIST DATA	1995-04-01 00:00:00		WAITING LIST DATA	NUM		
CHG_TY	TYPE OF HISTORY RECORD: A=ADD, M=MODIFY, D=DELETE	WAITING LIST DATA	1995-04-01 00:00:00		WAITING LIST DATA	CHAR(1)	CHGTY	
CPRA	CPRA	WAITING LIST DATA	2023-01-26 00:00:00					
CPTESTDT	Most Recent Cardiac Pulmonary Stress Test - Assessment Date	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTDTST	Most Recent Cardiac Pulmonary Stress Test - Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTMVO2	Most Recent Cardiac Pulmonary Stress Test - Peak Oxygen Consumption (in ml/kg/min)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTMVO2ST	Most Recent Cardiac Pulmonary Stress Test - Peak Oxygen Consumption/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTRER	Most Recent Cardiac Pulmonary Stress Test - Respiratory Exchange Ratio (RER)	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTRERST	Most Recent Cardiac Pulmonary Stress Test - Respiratory Exchange Ratio (RER)/Not Performed	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
CPTESTVEVCO2	Most Recent Cardiac Pulmonary Stress Test - VE/VCO2	WAITING LIST DATA	2018-10-18 00:00:00		RISK STRATIFICATION DATA	NUM		
