"STAR Table Name: LIVER_EXPLANT_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
EVIDENCEOFHCC	Evidence of HCC found in explant	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(1)		
EXTRAHEPATICSPREAD	Other Extrahepatic Spread	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(1)		
LYMPHNODEINVOLVEMENT	Lymph Node Involvement	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(1)		
NUMBER_TUMORS	Number of Tumors	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(12)		
SATELLITELESIONS	Satellite Lesions	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(1)		
TREATMENTFORHCC	Pre-transplant treatment for HCC?	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(1)		
TRR_ID_CODE	ENCRYPTED TRR_ID	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(15)		
TUMOR_LOC1	Tumor #1 - Location	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_LOC2	Tumor #2 - Location	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_LOC3	Tumor #3 - Location	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_LOC4	Tumor #4 - Location	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_LOC5	Tumor #5 - Location	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_NECR1	Tumor #1 - Necrosis	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_NECR2	Tumor #2 - Necrosis	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_NECR3	Tumor #3 - Necrosis	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_NECR4	Tumor #4 - Necrosis	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_NECR5	Tumor #5 - Necrosis	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(10)		
TUMOR_SIZE1	Tumor #1 - Size	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	NUM		
TUMOR_SIZE2	Tumor #2 - Size	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	NUM		
TUMOR_SIZE3	Tumor #3 - Size	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	NUM		
TUMOR_SIZE4	Tumor #4 - Size	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	NUM		
TUMOR_SIZE5	Tumor #5 - Size	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	NUM		
VASCULAR_INVASION	Vascular Invasion	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(13)		
WORST_TUMOR_DIFF	Worst Tumor Differentiation	LIEX	2012-04-12 00:00:00		CLINICAL INFORMATION	CHAR(23)		
