"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"global_psychopathology_rating_scale_clinical_record_id","px122102_phenx_global_psychopathology_rating_scale_clinical",,"text","Record ID",,"PX122102",,,,,,,,,,"",""
"global_psychopathology_rating_scale_clinical_somatic_concern","px122102_phenx_global_psychopathology_rating_scale_clinical","Rate items 1-10 on the basis of individual's self-report:","radio","Somatic Concern","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_anxiety","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Anxiety","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_depression","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Depression","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_guilt","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Guilt","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_hostility","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Hostility","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_grandiosity","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Grandiosity","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_suspiciousness","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Suspiciousness","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_hallucinations","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Hallucinations","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_unusual_thought_content","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Unusual thought content","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_disorientation","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Disorientation","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_conceptual_disorganization","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Conceptual disorganization","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_blunted_affect","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Blunted affect","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_emotional_withdrawal","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Emotional withdrawal","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_motor_retardation","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Motor retardation","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_tension","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Tension","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_uncooperativeness","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Uncooperativeness","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_excitement","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Excitement","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
"global_psychopathology_rating_scale_clinical_mannerism_posturing","px122102_phenx_global_psychopathology_rating_scale_clinical",,"radio","Mannerisms and posturing","0, Not present | 1, Very mild | 2, Mild | 3, Moderate | 4, Moderately severe | 5, Severe | 6, Extremely severe","PX122102",,,,,,,,,"mat","",""
