"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_creactive_protein_crp_record_id","px660601_phenx_creactive_protein_crp",,"text","Record ID",,"PX660601",,,,,,,,,,"",
"creactive_protein_specimen_handling","px660601_phenx_creactive_protein_crp",,"radio","If testing is not performed within 24 hours of collection, are specimens stored at -20 degrees Celsius or cooler?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_blood_collection","px660601_phenx_creactive_protein_crp",,"radio","Was the serum or plasma separated from the collected blood within 60 minutes of collection?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_sample_volume_minimum","px660601_phenx_creactive_protein_crp",,"radio","Is the sample volume at least 0.3 mL?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_sample_storage","px660601_phenx_creactive_protein_crp",,"radio","Are the specimens stored in glass or plastic vials?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_lipemic_specimens","px660601_phenx_creactive_protein_crp",,"radio","Were lipemic specimens clarified by centrifugation for 10 minutes at about 15,000g prior to testing?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_cardiophase_rheumatology_reagent","px660601_phenx_creactive_protein_crp",,"radio","Were the CardioPhase, Rheumatology, and Supplementary reagents stored between 4-8 degrees Celsius and never frozen?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_diluent_rx_buffer","px660601_phenx_creactive_protein_crp",,"radio","Were the Diluent and Rx buffer reagents stored at room temperature?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_quality_control","px660601_phenx_creactive_protein_crp",,"radio","Were the quality control materials stored at -20 degrees Celsius or colder before being thawed and stored at 2-8 degrees Celsius and used within 30 days?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_calibration_standard_dilutions","px660601_phenx_creactive_protein_crp",,"radio","Were the calibration standard dilutions used within 4 hours of preparation?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_quality_control_series","px660601_phenx_creactive_protein_crp",,"radio","Did any of the three levels of control run for each test series not conform to specificatoins as defined in the quality control manual?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_controls_specimens_mixing","px660601_phenx_creactive_protein_crp",,"radio","Were the temperatures of the controls and patient specimens brought up to room temperature before use?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_dilution_wells","px660601_phenx_creactive_protein_crp",,"radio","Are the dilution wells empty?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_bench_quality_control","px660601_phenx_creactive_protein_crp",,"radio","Were bench quality control specimens used at the beginning of each analystical run?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_lower_limit_assay","px660601_phenx_creactive_protein_crp",,"radio","Is the lowest reportable value at least 0.02 mg/dL?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
"creactive_protein_specimen_handling_testing","px660601_phenx_creactive_protein_crp",,"radio","Were specimens maintained at 20-25 degrees Celsius during tesing and stored at -70 degrees Celsius or lower after testing?","UNDEFINED_CODE,Yes | UNDEFINED_CODE_1,No","PX660601",,,,,,,,,,"",""
