"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_withdrawal_from_tobacco_use_record_id","px721001_phenx_withdrawal_from_tobacco_use",,"text","Record ID",,"PX721001",,,,,,,,,,"",
"info_721001","px721001_phenx_withdrawal_from_tobacco_use",,"descriptive","Behavior Rating Scale - Self-Report

Please rate yourself in the following questions for the period for the last  ___________ (measurement of time, EX day, week, month)",,"PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_angry","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Angry, irritable, frustrated","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_anxious","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Anxious, nervous","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_depressed","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Depressed mood, sad","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_craving_smoke","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Desire or craving to smoke","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_difficulty_concentrating","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Difficulty concentrating","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_appetite","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Increased appetite, hungry, weight gain","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_insomnia","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Insomnia, sleep problems, awakening at night","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_restless","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Restless","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_impatient","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Impatient","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_constipation","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Constipation","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_dizziness","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Dizziness","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_coughing","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Coughing","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_dreaming_nightmares","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Dreaming or nightmares","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_nausea","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Nausea","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_sore_throat","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Sore throat","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"observer_rating_721001","px721001_phenx_withdrawal_from_tobacco_use",,"descriptive","Behavior Rating Scale - Observer-Rating

Rate the subject on the following symptoms according to whether you observed the symptom in the subject in the last ________________ (measurement of time). It does not matter whether the subject complained of the symptom. We want to know whether you noticed the symptom.",,"PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_observed_angry","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Angry/irritable/frustrated","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_observed_anxious","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Anxious/tense","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_observed_depressed","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Depressed","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_observed_restless","px721001_phenx_withdrawal_from_tobacco_use",,"radio","Restless/Impatient","0, none | 1, slight | 2, mild | 3, moderate | 4, severe","PX721001",,,,,,,,,,"",""
"tobacco_use_withdrawal_confident_rating_accurate","px721001_phenx_withdrawal_from_tobacco_use",,"radio","How confident are you that this rating is accurate?","0 , not at all|1 , somewhat confident|2 , moderately confident|3 , very confident","PX721001",,,,,,,,,,"",""
