"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"anxiety_disorder_symptoms_children_self_report_past_three_months_record_id","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"text","Record ID",,"PX121802",,,,,,,,,,"",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_breathing","px121802_phenx_anxiety_disorders_symptoms_children_self_report","Below is a list of sentences that describe how people feel. Read each phrase and decide if it is ""Not True or Hardly Ever True"" or ""Somewhat True or Sometimes True"" or ""Very True or Often True"" for you. Then, for each sentence, fill in one circle that corresponds to the response that seems to describe you for the last 3 months.","radio","When I feel frightened, it is hard to breathe.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_headaches_school","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I get headaches when I am at school.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_feelings_strangers","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I don't like to be with people I don't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_scared_sleep_away_from_home","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I get scared if I sleep away from home.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_others_liking_me","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about other people liking me.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_passing_out","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel like passing out.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nervous","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am nervous.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_follow_parent","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I follow my mother or father wherever they go.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_others_nervous","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","People tell me that I look nervous.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nervous_strangers","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I feel nervous with people I don't know well.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_stomachaches_school","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I get stomachaches at school.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_crazy","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel like I am going crazy.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_sleeping_alone","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about sleeping alone.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_good_other_kids","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about being as good as other kids.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_reality","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I feel like things are not real.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nightmares_parents","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I have nightmares about something bad happening to my parents.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_school","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about going to school.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_heartbeat","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, my heart beats fast.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_shaky","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I get shaky.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_nightmares_me","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I have nightmares about something bad happening to me.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worry_myself","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I worry about things working out for me.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_sweat","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","When I get frightened, I sweat a lot.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_worrier","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I am a worrier.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
"anxiety_disorder_symptoms_children_self_report_past_three_months_frightened_reason","px121802_phenx_anxiety_disorders_symptoms_children_self_report",,"radio","I get really frightened for no reason at all.","0, Not true or hardly ever true | 1, Somewhat true or sometimes true | 2, Very true or often true","PX121802",,,,,,,,,"mat","",""
