"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_lack_of_prosocial_emotions_children_teacherreport_record_id","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"text","Record ID",,"PX121605",,,,,,,,,,"",
"pxt121605_lack_prosocial_emotions_children_self_report_express_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Expresses his/her feelings openly.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_right_wrong","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not seem to know ""right"" from ""wrong"".","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_care_school_work_","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Is concerned about schoolwork.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_hurt","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not care who he/she hurts to get what he/she wants.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_bad_guilt","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Feels bad or guilty when he/she has done something wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_show_emotions","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not show emotions.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_punctual","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not care about being on time.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_concerned_others_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Is concerned about the feelings of others.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_trouble","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not care if he/she is in trouble.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_feelings","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not let feelings control him/her.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_careless","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Does not care about doing things well.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
"pxt121605_lack_prosocial_emotions_children_self_report_cold_uncaring_others","px121605_phenx_lack_of_prosocial_emotions_children_teacherreport",,"radio","Seems very cold and uncaring","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121605",,,,,,,,,,"",""
