"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_lack_of_prosocial_emotions_children_selfreport_record_id","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"text","Record ID",,"PX121604",,,,,,,,,,"",
"pxt121604_lack_prosocial_emotions_children_self_report_express_feelings","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I express my feelings openly.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_right_wrong","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","What I think is ""right"" and ""wrong"" is different from what other people think.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_care_school_work_","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I care about how well I do at school or work.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_hurt","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not care who I hurt to get what I want.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_bad_guilt","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I feel bad or guilty when I do something wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_show_emotions","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not show my emotions to others.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_punctual","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not care about being on time.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_concerned_others_feelings","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I am concerned about the feelings of others.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_trouble","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not care if I get into trouble.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_feelings","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not let my feelings control me.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_careless","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not care about doing things well.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_cold_uncaring_others","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I seem very cold and uncaring to others.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_admit_wrong","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I easily admit to being wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_easy_others_feelings","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","It is easy for others to tell how I am feeling.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_try_best","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I always try my best.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_apologize","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I apologize (""say I am sorry"") to persons I hurt.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_others_feelings_important","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I try not to hurt others' feelings.","0, Not at all true | 1, Somewhat true | 2, Very true | 3, Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_remorseful","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not feel remorseful when I do something wrong.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_expressive_emotional","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I am very expressive and emotional.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
"pxt121604_lack_prosocial_emotions_children_self_report_time_perform_well","px121604_phenx_lack_of_prosocial_emotions_children_selfreport",,"radio","I do not like to put the time into doing things well.","0,Not at all true|1,Somewhat true|2,Very true|3,Definitely true","PX121604",,,,,,,,,,"",""
