"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_personal_and_family_history_of_hearing_loss_record_id","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Record ID",,"PX201501",,,,,,,,,,"",
"difficulty_hearing","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Do you have any difficulty with your hearing?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"which_ear_affected","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","In which ear(s) do you have a hearing difficulty?","UNDEFINED_CODE,Left|UNDEFINED_CODE_1,Right|UNDEFINED_CODE_2,Both","PX201501",,,,,,,,,,"",""
"age_first_noticed_hearing_difficulty","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","At what age did you first notice a hearing difficulty?","UNDEFINED_CODE,I have had a hearing difficulty since I was born|UNDEFINED_CODE_1,My hearing difficulty developed during my childhood years (before the age of 15)|UNDEFINED_CODE_2,My hearing difficulty developed between the ages of 15 and 40|UNDEFINED_CODE_3,My hearing difficulty developed after the age of 40","PX201501",,,,,,,,,,"",""
"how_quickly_difficulty_developed","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","How quickly did your hearing difficulty develop?","UNDEFINED_CODE,Suddenly (over a few days)|UNDEFINED_CODE_1,Over a few months|UNDEFINED_CODE_2,Over several years","PX201501",,,,,,,,,,"",""
"reason_for_difficulty","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Do you know the reason for your hearing difficulty? (if there is a separate cause for each of your ears, please note them accordingly)","UNDEFINED_CODE,I have no idea about the cause of my hearing problem|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"reason_for_difficulty_describe","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Do you know the reason for your hearing difficulty? (if there is a separate cause for each of your ears, please note them accordingly) Describe:",,"PX201501",,,,,,,,,,"",""
"hearing_vary_day_to_day","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Does your hearing vary from day to day?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, in both ears|UNDEFINED_CODE_2,Yes, in my left ear|UNDEFINED_CODE_3,Yes, in my right ear","PX201501",,,,,,,,,,"",""
"background_noise","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Do you find it very difficult to follow a conversation if there is background noise (e.g. TV, radio, children playing)?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"sensitive_loud_sounds","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Are you particularly sensitive to loud sounds?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"fullness_in_ears","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Do you sometimes feel a fullness or blockage in your ears?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, in my left ear|UNDEFINED_CODE_2,Yes, in my right ear|UNDEFINED_CODE_3,Yes, in both ears","PX201501",,,,,,,,,,"",""
"tinnitus","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Nowadays, do you ever get noises in your head or ears (tinnitus) which usually last longer than five minutes?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"disease_caused_hearing_get_worse","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Have you ever had an ear disease that has caused your hearing to get worse?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"ear_discharge","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Have you ever had discharge of blood or pus, or smelly discharge (not wax) from either ear?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,I don't know|UNDEFINED_CODE_2,From my left ear|UNDEFINED_CODE_3,From my right ear|UNDEFINED_CODE_4,From both ears","PX201501",,,,,,,,,,"",""
"ear_operation","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Have you ever had an ear operation?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,I don't know|UNDEFINED_CODE_2,Yes","PX201501",,,,,,,,,,"",""
"earoperation1_type","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Write down what type of operation, or why the operation was performed",,"PX201501",,,,,,,,,,"",""
"earoperation1_which_ear","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Which ear?","UNDEFINED_CODE,left ear|UNDEFINED_CODE_1,right ear","PX201501",,,,,,,,,,"",""
"earoperation1_year","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Which year? (approximately)",,"PX201501","number",,,,,,,,,"",""
"earoperation2_type","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Write down what type of operation, or why the operation was performed",,"PX201501",,,,,,,,,,"",""
"earoperation2_which_ear","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Which ear?","UNDEFINED_CODE,left ear|UNDEFINED_CODE_1,right ear","PX201501",,,,,,,,,,"",""
"earoperation2_year","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Which year? (approximately)",,"PX201501","number",,,,,,,,,"",""
"earoperation3_type","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Write down what type of operation, or why the operation was performed",,"PX201501",,,,,,,,,,"",""
"earoperation3_which_ear","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Which ear?","UNDEFINED_CODE,left ear|UNDEFINED_CODE_1,right ear","PX201501",,,,,,,,,,"",""
"earoperation3_year","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Which year? (approximately)",,"PX201501","number",,,,,,,,,"",""
"earoperation4_type","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Write down what type of operation, or why the operation was performed",,"PX201501",,,,,,,,,,"",""
"earoperation4_which_ear","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Which ear?","UNDEFINED_CODE,left ear|UNDEFINED_CODE_1,right ear","PX201501",,,,,,,,,,"",""
"earoperation4_year","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Which year? (approximately)",,"PX201501","number",,,,,,,,,"",""
"pxt201501_dizziness","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Have you ever suffered from attacks of dizziness in which things seem to spin around you?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes, within the last year|UNDEFINED_CODE_2,Yes, more than a year ago","PX201501",,,,,,,,,,"",""
"unsteady_in_dark","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","Do you feel unsteady when walking in the dark?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"mothers_father_country","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your mother's father (your maternal grandfather) originate from?  Specify Country",,"PX201501",,,,,,,,,,"",""
"mothers_father_region","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your mother's father (your maternal grandfather) originate from?  Specify Region",,"PX201501",,,,,,,,,,"",""
"mothers_mother_country","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your mother's mother (your maternal grandmother) originate from?  Specify Country",,"PX201501",,,,,,,,,,"",""
"mothers_mother_region","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your mother's mother (your maternal grandmother) originate from?  Specify Region",,"PX201501",,,,,,,,,,"",""
"fathers_father_country","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your father's father (your paternal grandfather) originate from?  Specify Country",,"PX201501",,,,,,,,,,"",""
"fathers_father_region","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your father's father (your paternal grandfather) originate from?  Specify Region",,"PX201501",,,,,,,,,,"",""
"fathers_mother_country","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your father's mother (your paternal grandmother) originate from?  Specify Country",,"PX201501",,,,,,,,,,"",""
"fathers_mother_region","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","Where did your father's mother (your paternal grandmother) originate from?  Specify Region",,"PX201501",,,,,,,,,,"",""
"mother_have_hearing_problems","px201501_phenx_personal_and_family_history_of_hearing_loss",,"radio","As far as you know, does/did your mother have hearing problems?","UNDEFINED_CODE,No|UNDEFINED_CODE_1,Yes","PX201501",,,,,,,,,,"",""
"mothers_birth_year","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","What was her year of birth?",,"PX201501","number",,,,,,,,,"",""
"mothers_occupation","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","What was her occupation?",,"PX201501",,,,,,,,,,"",""
"age_mothers_hearing_problems_started","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","At what age did her hearing problems start?",,"PX201501","number",,,,,,,,,"",""
"cause_of_mothers_hearing_problem","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","What is/was the cause of her hearing problem (if known)?",,"PX201501",,,,,,,,,,"",""
"age_mother_died","px201501_phenx_personal_and_family_history_of_hearing_loss",,"text","If she is dead, how old was she when she died?",,"PX201501","number",,,,,,,,,"",""
