"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_perception_of_recovery_orientation_and_care_quality_of_m_record_id","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"text","Record ID",,"PX661503",,,,,,,,,,"",
"recovery_selfassessment_patient_welcoming_staff","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff welcome me and help me feel comfortable in this program. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_facilities","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","The physical space of this program (e.g., the lobby, waiting rooms, etc.) feels inviting and dignified. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_encouragement","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff encourage me to have hope and high expectations for myself and my recovery. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_flexibility","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","I can change my clinician or case manager if I want to. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_treatment_records","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","I can easily access my treatment records if I want to. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_threats_bribes","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff do not use threats, bribes, or other forms of pressure to get me to do what they want. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_staff_hopeful","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that I can recover. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_symptoms","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that I have the ability to manage my own symptoms. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_independence","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff believe that I can make my own life choices regarding things such as where to live, when to work,whom to be friends with, etc. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
"recovery_selfassessment_patient_decisions","px661503_phenx_perception_of_recovery_orientation_and_care_quality_of_m",,"radio","Staff listen to me and respect my decisions about my treatment and care. Rate on a 5-point scale (1 = Strongly Disagree; 5 = Strongly agree)","UNDEFINED_CODE,1|UNDEFINED_CODE_1,2|UNDEFINED_CODE_2,3|UNDEFINED_CODE_3,4|UNDEFINED_CODE_4,5|UNDEFINED_CODE_5,Not applicable|UNDEFINED_CODE_6,Don't know","PX661503",,,,,,,,,,"",""
