"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
fertility_history_record_id,px880701_fertility_history,,text,"Record ID",,PX880701,,,,,,,,,,,
fertility_history_ever_pregnant,px880701_fertility_history,,radio,"Have you and a partner ever become pregnant?","UNDEFINED_CODE, No|UNDEFINED_CODE_1, Yes",PX880701,,,,,,,,,,,
fertility_history_number_times_pregnant,px880701_fertility_history,,text,"Including live births, stillbirths, miscarriages, and abortions, how many times have you become pregnant or had a woman become pregnant by you?",,PX880701,integer,,,,"[fertility_history_ever_pregnant] = ""UNDEFINED_CODE_1""",,,,,,
fertility_history_pregnancy_1_outcome,px880701_fertility_history,,radio,"Pregnancy 1 - Outcome","UNDEFINED_CODE, Live birth|UNDEFINED_CODE_1, Stillbirth|UNDEFINED_CODE_2, Miscarriage|UNDEFINED_CODE_3, Medical abortion",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 1",,,,,,
fertility_history_pregnancy_1_age,px880701_fertility_history,,radio,"Pregnancy 1 - Your age (years) at beginning of pregnancy","UNDEFINED_CODE, Under 15|UNDEFINED_CODE_1, 15-20|UNDEFINED_CODE_2, 21-25|UNDEFINED_CODE_3, 26-30|UNDEFINED_CODE_4, 31-35|UNDEFINED_CODE_5, 36 and over",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 1",,,,,,
fertility_history_pregnancy_1_duration,px880701_fertility_history,,radio,"Pregnancy 1 - Weeks pregnancy lasted","UNDEFINED_CODE, Less than 12 weeks|UNDEFINED_CODE_1, 12 - 24 weeks|UNDEFINED_CODE_2, 25 - 32 weeks|UNDEFINED_CODE_3, 33 - 37 weeks|UNDEFINED_CODE_4, 38 - 40 weeks",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 1",,,,,,
fertility_history_pregnancy_2_outcome,px880701_fertility_history,,radio,"Pregnancy 2 - Outcome","UNDEFINED_CODE, Live birth|UNDEFINED_CODE_1, Stillbirth|UNDEFINED_CODE_2, Miscarriage|UNDEFINED_CODE_3, Medical abortion",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 2",,,,,,
fertility_history_pregnancy_2_age,px880701_fertility_history,,radio,"Pregnancy 2 - Your age (years) at beginning of pregnancy","UNDEFINED_CODE, Under 15|UNDEFINED_CODE_1, 15-20|UNDEFINED_CODE_2, 21-25|UNDEFINED_CODE_3, 26-30|UNDEFINED_CODE_4, 31-35|UNDEFINED_CODE_5, 36 and over",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 2",,,,,,
fertility_history_pregnancy_2_duration,px880701_fertility_history,,radio,"Pregnancy 2 - Weeks pregnancy lasted","UNDEFINED_CODE, Less than 12 weeks|UNDEFINED_CODE_1, 12 - 24 weeks|UNDEFINED_CODE_2, 25 - 32 weeks|UNDEFINED_CODE_3, 33 - 37 weeks|UNDEFINED_CODE_4, 38 - 40 weeks",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 2",,,,,,
fertility_history_pregnancy_3_outcome,px880701_fertility_history,,radio,"Pregnancy 3 - Outcome","UNDEFINED_CODE, Live birth|UNDEFINED_CODE_1, Stillbirth|UNDEFINED_CODE_2, Miscarriage|UNDEFINED_CODE_3, Medical abortion",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 3",,,,,,
fertility_history_pregnancy_3_age,px880701_fertility_history,,radio,"Pregnancy 3 - Your age (years) at beginning of pregnancy","UNDEFINED_CODE, Under 15|UNDEFINED_CODE_1, 15-20|UNDEFINED_CODE_2, 21-25|UNDEFINED_CODE_3, 26-30|UNDEFINED_CODE_4, 31-35|UNDEFINED_CODE_5, 36 and over",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 3",,,,,,
fertility_history_pregnancy_3_duration,px880701_fertility_history,,radio,"Pregnancy 3 - Weeks pregnancy lasted","UNDEFINED_CODE, Less than 12 weeks|UNDEFINED_CODE_1, 12 - 24 weeks|UNDEFINED_CODE_2, 25 - 32 weeks|UNDEFINED_CODE_3, 33 - 37 weeks|UNDEFINED_CODE_4, 38 - 40 weeks",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 3",,,,,,
fertility_history_pregnancy_4_outcome,px880701_fertility_history,,radio,"Pregnancy 4 - Outcome","UNDEFINED_CODE, Live birth|UNDEFINED_CODE_1, Stillbirth|UNDEFINED_CODE_2, Miscarriage|UNDEFINED_CODE_3, Medical abortion",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 4",,,,,,
fertility_history_pregnancy_4_age,px880701_fertility_history,,radio,"Pregnancy 4 - Your age (years) at beginning of pregnancy","UNDEFINED_CODE, Under 15|UNDEFINED_CODE_1, 15-20|UNDEFINED_CODE_2, 21-25|UNDEFINED_CODE_3, 26-30|UNDEFINED_CODE_4, 31-35|UNDEFINED_CODE_5, 36 and over",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 4",,,,,,
fertility_history_pregnancy_4_duration,px880701_fertility_history,,radio,"Pregnancy 4 - Weeks pregnancy lasted","UNDEFINED_CODE, Less than 12 weeks|UNDEFINED_CODE_1, 12 - 24 weeks|UNDEFINED_CODE_2, 25 - 32 weeks|UNDEFINED_CODE_3, 33 - 37 weeks|UNDEFINED_CODE_4, 38 - 40 weeks",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 4",,,,,,
fertility_history_pregnancy_5_outcome,px880701_fertility_history,,radio,"Pregnancy 5 - Outcome","UNDEFINED_CODE, Live birth|UNDEFINED_CODE_1, Stillbirth|UNDEFINED_CODE_2, Miscarriage|UNDEFINED_CODE_3, Medical abortion",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 5",,,,,,
fertility_history_pregnancy_5_age,px880701_fertility_history,,radio,"Pregnancy 5 - Your age (years) at beginning of pregnancy","UNDEFINED_CODE, Under 15|UNDEFINED_CODE_1, 15-20|UNDEFINED_CODE_2, 21-25|UNDEFINED_CODE_3, 26-30|UNDEFINED_CODE_4, 31-35|UNDEFINED_CODE_5, 36 and over",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 5",,,,,,
fertility_history_pregnancy_5_duration,px880701_fertility_history,,radio,"Pregnancy 5 - Weeks pregnancy lasted","UNDEFINED_CODE, Less than 12 weeks|UNDEFINED_CODE_1, 12 - 24 weeks|UNDEFINED_CODE_2, 25 - 32 weeks|UNDEFINED_CODE_3, 33 - 37 weeks|UNDEFINED_CODE_4, 38 - 40 weeks",PX880701,,,,,"[fertility_history_number_times_pregnant] >= 5",,,,,,
