"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_eight_individual_chromogenic_extended_record_id","px911104_factor_eight_individual_chromogenic_extended",,"text","Record ID",,"PX911104",,,,,,,,,,"",
"factor_eight_individual_chromogenic_extended_sample_collection","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_venous_statsis","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were steps taken to prevent prolonged venous stasis?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_nonhemolyzed","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were nonhemolyzed samples collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_blood_draw","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was the order of blood draw recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_tubes","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were collection tubes filled and mixed as outlined in Lippi et al. (2012)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_venipuncture","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_tubes_filled","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were the tubes filled within 11% of the fill line?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_tubes_second","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was a second tube collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_tubes_winged","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was a winged butterfly collection system used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_collection_tubes_discard","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was a discard tube drawn?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_collection_tubes_winged] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_sodium_citrate","px911104_factor_eight_individual_chromogenic_extended",,"radio","Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_refrigerated","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples refrigerated or stored on ice or in an ice bath?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_transportation","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples transported vertically?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_agitation","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples agitated during transportation?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_storage_unprocessed","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples stored as unprocessed sodium citrate whole blood samples?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_platelet_poor_plasma","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples processed to platelet poor plasma (PPP) within 1 hour of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_assayed","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples assayed within 4 hours of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_centrifuge_validated","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was the centrifuge validated so that process results in less than 10,000 platelets/microliter","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_frozen","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was the sample frozen immediately and stored at -20 C for at most 2 weeks?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_sample_processing_deep_freeze","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was the sample transferred to < = -70 C, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,"[factor_eight_individual_chromogenic_extended_sample_processing_storage_whole_blood] = 'UNDEFINED_CODE' or [factor_eight_individual_chromogenic_extended_sample_processing_storage_plasma] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_individual_chromogenic_extended_one_stage_clotting_factor_assay_changes","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were any changes made in the protocol over the course of the study?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_one_stage_clotting_factor_assay_record","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were the make and manufacturer of equipment, repeatability and coefficients of variation for the assay, and the reagents used recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_washout","px911104_factor_eight_individual_chromogenic_extended",,"radio","Did the patient undergo a treatment-free washout period lasting longer than file half-lives?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_infusion_baseline","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was a sample collected before infusion (baseline)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_after_infusion_minutes_10","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was a sample collected 10-15 minutes after infusion?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_timepoints_eight","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were samples collected at up to eight other time points that cover 2.5 half-lives of the extended half-life Factor VIII products?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_timepoints","px911104_factor_eight_individual_chromogenic_extended",,"radio","Was it taken into account that the timepoints necessary for the pharmacokinetic study to cover 2.5 half-lives depend on the specific extended half-life Factor VIII product being used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_study_timepoints_recorded","px911104_factor_eight_individual_chromogenic_extended",,"radio","Were sample collection timepoints recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
"factor_eight_individual_chromogenic_extended_pharmacokinetic_interpretation","px911104_factor_eight_individual_chromogenic_extended",,"radio","During interpretations of the results, was it taken into account that the half-life of extended half-life Factr VIII products is highly variable and the level at which an inhibitor is suggested has not be established?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911104",,,,,,,,,,"",""
