"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_emotional_distress_record_id","px190601_phenx_emotional_distress",,"text","Record ID",,"PX190601",,,,,,,,,,"",
"i_felt_fearful","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt fearful","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_anxious","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt anxious","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_worried","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt worried","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"hard_to_focus","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I found it hard to focus on anything other than my anxiety","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_nervous","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt nervous","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_uneasy","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt uneasy","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_tense","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt tense","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_worthless","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt worthless","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"nothing_to_look_forward_to","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt that I had nothing to look forward to","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_helpless","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt helpless","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_sad","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt sad","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_like_a_failure","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt like a failure","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_depressed","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt depressed","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_unhappy","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt unhappy","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_felt_hopeless","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I felt hopeless","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"my_sleep_was_restless","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  My sleep was restless","1 , Not at all|2 , A little bit|3 , Somewhat|4 , Quite a bit|5 , Very much","PX190601",,,,,,,,,,"",""
"satisfied_with_my_sleep","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I was satisfied with my sleep","5 , Not at all|4 , A little bit|3 , Somewhat|2 , Quite a bit|1 , Very much","PX190601",,,,,,,,,,"",""
"my_sleep_was_refreshing","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  My sleep was refreshing","5 , Not at all|4 , A little bit|3 , Somewhat|2 , Quite a bit|1 , Very much","PX190601",,,,,,,,,,"",""
"i_had_difficulty_falling_asleep","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I had difficulty falling asleep","1 , Not at all|2 , A little bit|3 , Somewhat|4 , Quite a bit|5 , Very much","PX190601",,,,,,,,,,"",""
"i_had_trouble_staying_asleep","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I had trouble staying asleep","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_had_trouble_sleeping","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I had trouble sleeping","1 , Never|2 , Rarely|3 , Sometimes|4 , Often|5 , Always","PX190601",,,,,,,,,,"",""
"i_got_enough_sleep","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  I got enough sleep","5 , Never|4 , Rarely|3 , Sometimes|2 , Often|1 , Always","PX190601",,,,,,,,,,"",""
"sleep_quality","px190601_phenx_emotional_distress",,"radio","In the past 7 days...  My sleep quality was","5 , Very poor|4 , Poor|3 , Fair|2 , Good|1 , Very good","PX190601",,,,,,,,,,"",""
