"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","px860203_px860203",,"text","Record ID",,"PX860203",,,,,,,,,,"",""
"worry_pain_end","px860203_px860203",,"radio","When my child is in pain, I worry all the time about whether the pain will end.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_go_on","px860203_px860203",,"radio","When my child is in pain, I feel I can't go on like this much longer.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_never_better","px860203_px860203",,"radio","When my child is in pain, it's terrible and I think it's never going to get better.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_overwhelm","px860203_px860203",,"radio","When my child is in pain, it's awful and I feel that it overwhelms me.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_stand_it","px860203_px860203",,"radio","When my child is in pain, I can't stand it anymore.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_worse","px860203_px860203",,"radio","When my child is in pain, I become afraid that the pain will get worse.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_events","px860203_px860203",,"radio","When my child is in pain, I keep thinking of other painful events.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_go_away","px860203_px860203",,"radio","When my child is in pain, I want the pain to go away.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_mind","px860203_px860203",,"radio","When my child is in pain, I can't keep it out of my mind.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_suffering","px860203_px860203",,"radio","When my child is in pain, I keep thinking about how much he/she is suffering.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_stop","px860203_px860203",,"radio","When my child is in pain, I keep thinking about how much I want the pain to stop.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_nothing","px860203_px860203",,"radio","When my child is in pain, there is nothing I can do to stop the pain.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
"child_pain_wonder","px860203_px860203",,"radio","When my child is in pain, I wonder whether something serious may happen.","0, NOT AT ALL | 1, MILDLY | 2, MODERATELY | 3, SEVERLY | 4, EXTREMELY","PX860203",,,,,,,,,,"",""
