"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","px860202_px860202",,"text","Record ID",,"PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_whether_end","px860202_px860202",,"radio","When I am in pain, I worry all the time about whether the pain will end.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_cant_go_on","px860202_px860202",,"radio","When I am in pain, I feel I can't go on like this much longer.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_never_better","px860202_px860202",,"radio","When I am in pain, it's terrible and I think it's never going to get better.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_overwhelms","px860202_px860202",,"radio","When I am in pain, it's awful and I feel that it takes over me.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_cant_stand","px860202_px860202",,"radio","When I am in pain, I can't stand it anymore.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_afraid_worse","px860202_px860202",,"radio","When I am in pain, I become afraid that the pain will get worse.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_other_painful_events","px860202_px860202",,"radio","When I am in pain, I keep thinking of other painful events.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_go_away","px860202_px860202",,"radio","When I am in pain, I want the pain to go away.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_cant_keep_out_mind","px860202_px860202",,"radio","When I am in pain, I can't keep it out of my mind.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_hurts","px860202_px860202",,"radio","When I am in pain, I keep thinking about how much it hurts.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_want_stop","px860202_px860202",,"radio","When I am in pain, I keep thinking about how much I want the pain to stop.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_nothing_stop","px860202_px860202",,"radio","When I am in pain, there is nothing I can do to stop the pain.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
"pain_catastrophizing_child_wonder","px860202_px860202",,"radio","When I am in pain, I wonder whether something serious may happen.","0, NOT AT ALL|1, MILDLY|2, MODERATELY|3, SEVERELY|4, EXTREMELY","PX860202",,,,,,,,,,"",""
