"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_disapproval_of_substance_use_record_id","px550202_phenx_disapproval_of_substance_use",,"text","Record ID",,"PX550202",,,,,,,,,,"",
"disapproval_substanceuse_desc","px550202_phenx_disapproval_of_substance_use",,"descriptive","Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following?",,"PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_smoking_pack_cigarettes","px550202_phenx_disapproval_of_substance_use",,"radio","Smoking one or more packs of cigarettes per day","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_smokeless_tobacco_regularly","px550202_phenx_disapproval_of_substance_use",,"radio","Using smokeless tobacco regularly","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_marijuana_trying","px550202_phenx_disapproval_of_substance_use",,"radio","Tying marijuana once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_marijuana_occasionally","px550202_phenx_disapproval_of_substance_use",,"radio","Smoking marijuana occasionally","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_marijuana_regularly","px550202_phenx_disapproval_of_substance_use",,"radio","Smoking marijuana regularly","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_cocaine_once","px550202_phenx_disapproval_of_substance_use",,"radio","Trying cocaine in powder form once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_cocaine_occasionally","px550202_phenx_disapproval_of_substance_use",,"radio","Taking cocaine powder occasionally","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_crack_once","px550202_phenx_disapproval_of_substance_use",,"radio","Trying ""crack"" cocaine once or twice","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_crack_occasionally","px550202_phenx_disapproval_of_substance_use",,"radio","Taking ""crack"" cocaine occasionally","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
"disapproval_substanceuse_alcohol_trying","px550202_phenx_disapproval_of_substance_use",,"radio","Trying one or two drinks of an alcoholic beverage (beer, wine, liquor)","1,Don't Disapprove|2,Disapprove|3,Strongly Disapprove|4,Can't Say, Drug Unfamiliar","PX550202",,,,,,,,,,"",""
