"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
internet_access_record_id,px281301_internet_access,,text,"Record ID",,PX281301,,,,,,,,,,,
internet_access_ever_go_online,px281301_internet_access,,radio,"Do you ever go on-line to access the Internet or World Wide Web, or to send and receive e-mail?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX281301,,,,,,,,,,,
internet_access_use_dial_up,px281301_internet_access,,radio,"When you use the Internet, do you access it through... A regular dial-up telephone line","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_use_broadband,px281301_internet_access,,radio,"When you use the Internet, do you access it through... Broadband such as DSL, cable, or FiOS","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_use_cellular,px281301_internet_access,,radio,"When you use the Internet, do you access it through... A cellular network (i.e., phone, 3G/4G)","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_use_wireless,px281301_internet_access,,radio,"When you use the Internet, do you access it through... A wireless network (Wi-Fi)","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_via_computer_home,px281301_internet_access,,radio,"How often do you access the Internet through each of the following? Computer at home","UNDEFINED_CODE, Daily|UNDEFINED_CODE_1, Sometimes|UNDEFINED_CODE_2, Never|UNDEFINED_CODE_3, Not Applicable",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_via_computer_work,px281301_internet_access,,radio,"How often do you access the Internet through each of the following? Computer at work","UNDEFINED_CODE, Daily|UNDEFINED_CODE_1, Sometimes|UNDEFINED_CODE_2, Never|UNDEFINED_CODE_3, Not Applicable",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_via_computer_public,px281301_internet_access,,radio,"How often do you access the Internet through each of the following? Computer in a public place (library, community center, other)","UNDEFINED_CODE, Daily|UNDEFINED_CODE_1, Sometimes|UNDEFINED_CODE_2, Never|UNDEFINED_CODE_3, Not Applicable",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_via_mobile_device,px281301_internet_access,,radio,"How often do you access the Internet through each of the following? On a mobile device (cell phone/smart phone/tablet)","UNDEFINED_CODE, Daily|UNDEFINED_CODE_1, Sometimes|UNDEFINED_CODE_2, Never|UNDEFINED_CODE_3, Not Applicable",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
internet_access_satisfied_speed,px281301_internet_access,,radio,"To what extent are you satisfied with your internet speed?","UNDEFINED_CODE, Not at all satisfied|UNDEFINED_CODE_1, Not very satisfied|UNDEFINED_CODE_2, Somewhat satisfied|UNDEFINED_CODE_3, Very satisfied|UNDEFINED_CODE_4, Extremely satisfied",PX281301,,,,,"[internet_access_ever_go_online] = 'UNDEFINED_CODE'",,,,,,
