"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_nine_individual_chromogenic_standard_record_id","px910903_factor_nine_individual_chromogenic_standard",,"text","Record ID",,"PX910903",,,,,,,,,,"",
"factor_nine_individual_chromogenic_standard_sample_collection","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) to ensure quality specimens for coagulation testing followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_winged_butterfly","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was a winged butterfly collection system used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_discard_tube","px910903_factor_nine_individual_chromogenic_standard",,"radio","Was a discard tube drawn?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,"[factor_nine_individual_chromogenic_standard_winged_butterfly] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_capped_room_temp","px910903_factor_nine_individual_chromogenic_standard",,"radio","Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_not_refrigerated_stored","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples refrigerated or stored on ice or in an ice bath?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_not_transported_vertically","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples transported vertically?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_not_agitated","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples agitated during transportation to avoid remixing of components?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_transported_stored","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were procedures for samples transportation and storage followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_standard_sample_processing_unprocessed_sodium_citrate","px910903_factor_nine_individual_chromogenic_standard",,"radio","Were samples transported and stored as unprocessed sodium citrate whole blood samples?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910903",,,,,,,,,,"",""
