"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_nine_individual_chromogenic_extended_record_id","px910904_factor_nine_individual_chromogenic_extended",,"text","Record ID",,"PX910904",,,,,,,,,,"",
"factor_nine_individual_chromogenic_extended_sample_collection","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) to ensure quality specimens for coagulation testing followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_winged_butterfly","px910904_factor_nine_individual_chromogenic_extended",,"radio","Was a winged butterfly collection system used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_discard_tube","px910904_factor_nine_individual_chromogenic_extended",,"radio","Was a discard tube drawn?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_winged_butterfly] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_capped_room_temp","px910904_factor_nine_individual_chromogenic_extended",,"radio","Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_not_refrigerated_stored","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples refrigerated or stored on ice or in an ice bath?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_not_transported_vertically","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples transported vertically?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_not_agitated","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples agitated during transportation to avoid remixing of components?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_transported_stored","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were procedures for samples transportation and storage followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_unprocessed_sodium_citrate","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples transported and stored as unprocessed sodium citrate whole blood samples?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_whole_blood_ppp","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were whole blood samples processed to platelet poor plasma (PPP) within 1 hour of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_whole_blood_assayed","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples assayed within 4 hours of collection?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_centrifuge_validated","px910904_factor_nine_individual_chromogenic_extended",,"radio","Was the centrifuge validated so that process results in less than 10,000 platelets/microliter?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_frozen_immediately","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were centrifuged samples frozen immedietely and stored at -20C for 2 weeks?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_transferred_storage","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were samples transferred to < -70C for longer storage, including shipment?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,"[factor_nine_individual_chromogenic_extended_sample_processing_whole_blood_centrifuged] = 'UNDEFINED_CODE' or [factor_nine_individual_chromogenic_extended_sample_processing_plasma_processed_centrifugation] = 'UNDEFINED_CODE'",,,,,"",""
"factor_nine_individual_chromogenic_extended_chromogenic_substrate_assay","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were assays and instruments that are appropriate to perform the chromogenic substrate assay used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_individual_pharmacokinetic_study","px910904_factor_nine_individual_chromogenic_extended",,"radio","Prior to pharmacokinetic evaluations, did participants undergo a treatment-free washout period lasting longer than five half-lives?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
"factor_nine_individual_chromogenic_extended_interpretation_individual_pharmacokinetic_results","px910904_factor_nine_individual_chromogenic_extended",,"radio","Were results interpreted according to? The half-life of Factor IX therapies is highly variable (see [Iorio, 2017]) and the level at which an inhibitor is suggested has not been established.","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX910904",,,,,,,,,,"",""
