"Media/File ID",Title,Description,"Core or Supplemental","File Language","Research Topic",Copyright,"Link to File","CDE Language"
8871,six-item-screener-crf.docx,"The Six-Item Screener is a brief instrument for identifying subjects with cognitive impairment and its diagnostic properties are comparable to the full Mini Mental State Examination (MMSE).",Supplemental,English,"Cognitive Function",No,https://heal.nih.gov/files/CDEs/2024-01/six-item-screener-crf.docx,English
8976,six-item-screener-cde.xlsx,"The Six-Item Screener is a brief instrument for identifying subjects with cognitive impairment and its diagnostic properties are comparable to the full Mini Mental State Examination (MMSE).",Supplemental,English,"Cognitive Function",No,https://heal.nih.gov/files/CDEs/2024-01/six-item-screener-cde.xlsx,English
8986,sleep-disturbance-6a-crf-swedish.pdf,"The PROMIS 6a scale measures sleep disturbances in the past 7 days.","All Core, Adult Chronic, Adult Acute",Swedish,Sleep,No,https://heal.nih.gov/files/CDEs/2024-01/sleep-disturbance-6a-crf-swedish.pdf,Swedish
5051,sleep-disturbance-6a-cdes.xlsx,"The PROMIS 6a scale measures sleep disturbances in the past 7 days.","All Core, Adult Chronic, Adult Acute",English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-05/sleep-disturbance-6a-cdes.xlsx,Swedish
8726,phq-9-crf-swedish.docx,"The Patient Health Questionnaire 9 (PHQ-9) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",Swedish,Depression,No,https://heal.nih.gov/files/CDEs/2023-11/phq-9-crf-swedish.docx,Swedish
5376,patient-health-questionnaire-9-cde.xlsx,"The Patient Health Questionnaire 9 (PHQ-9) measures the frequency of depressed mood and anhedonia over the past two weeks.","All Core, Adult Chronic, Adult Acute, Pediatrics, Supplemental",English,Depression,No,https://heal.nih.gov/files/CDEs/2023-06/patient-health-questionnaire-9-cde.xlsx,Swedish
8741,pgic-crf-swedish.docx,"The Patient Global Impression of Change (PGIC) measures the change of a participant's condition over a certain amount of time.","All Core, Adult Chronic, Adult Acute, Pediatrics",Swedish,"Global Satisfaction with Treatment",No,https://heal.nih.gov/files/CDEs/2023-11/pgic-crf-swedish.docx,Swedish
5016,pgic-cdes.xlsx,"The Patient Global Impression of Change (PGIC) measures the change of a participant's condition over a certain amount of time.","All Core, Adult Chronic, Adult Acute, Pediatrics",English,"Global Satisfaction with Treatment",No,https://heal.nih.gov/files/CDEs/2023-05/pgic-cdes.xlsx,Swedish
8721,sleep-duration-crf-swedish.docx,"The PROMIS 6a scale is composed of 6 items developed to assess the domain of sleep disturbances in the past 7 days.","All Core, Adult Chronic, Adult Acute",Swedish,Sleep,No,https://heal.nih.gov/files/CDEs/2023-11/sleep-duration-crf-swedish.docx,Swedish
5061,sleep-duration-cdes.xlsx,"The PROMIS 6a scale is composed of 6 items developed to assess the domain of sleep disturbances in the past 7 days.","All Core, Adult Chronic, Adult Acute",English,Sleep,No,https://heal.nih.gov/files/CDEs/2023-05/sleep-duration-cdes.xlsx,Swedish
