"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
long_covid_symptoms_memory_record_id,px992002_long_covid_symptoms_memory,,text,"Record ID",,PX992002,,,,,,,,,,,
long_covid_symptoms_memory_memory_related_symptoms,px992002_long_covid_symptoms_memory,"Memory Symptoms",radio,"<div class=""rich-text-field-label""><p>Have you experienced any <span style=""font-weight: normal;"">MEMORY RELATED SYMPTOMS</span> since the start of your COVID-19 illness?</p></div>","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_experienced_memory_symptoms,px992002_long_covid_symptoms_memory,,checkbox,"Which of the following memory symptoms have you experienced since the start of your COVID-19 illness?","UNDEFINED_CODE, Short-term memory loss (memory that lasts ~30 seconds, i.e. remembering a phone number before writing it down, or forgetting you're in the middle of a task) | UNDEFINED_CODE_1, Long-term memory loss (long-term memory can be anything from remembering yesterday, forgetting you've done a task, forgetting recently learned information, or forgetting your third-grade experience) | UNDEFINED_CODE_2, Not being able to make new memories | UNDEFINED_CODE_3, Forgetting how to do routine tasks (tying your shoe laces, washing your hands) | UNDEFINED_CODE_4, None of the above | UNDEFINED_CODE_5, Other",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_experienced_memory_symptoms_other,px992002_long_covid_symptoms_memory,,text,"Which of the following memory symptoms have you experienced since the start of your COVID-19 illness? Other",,PX992002,,,,,"[long_covid_symptoms_memory_experienced_memory_symptoms(UNDEFINED_CODE_5)] = '1'",,,,,,
long_covid_symptoms_memory_when_experienced_symptoms,px992002_long_covid_symptoms_memory,,checkbox,"When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. Memory Symptoms: ","UNDEFINED_CODE, Week 1 | UNDEFINED_CODE_1, Week 2 | UNDEFINED_CODE_2, Week 3 | UNDEFINED_CODE_3, Week 4 | UNDEFINED_CODE_4, Month 2 | UNDEFINED_CODE_5, Month 3 | UNDEFINED_CODE_6, Month 4 | UNDEFINED_CODE_7, Month 5 | UNDEFINED_CODE_8, Month 6 | UNDEFINED_CODE_9, Month 7",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_brain_fog,px992002_long_covid_symptoms_memory,"Cognitive Function/Brain Fog Symptoms",radio,"Have you experienced issues with BRAIN FOG (inability to focus, think clearly, plan, process, understand, and maintain a coherent stream of thought; abnormally slow or fast thoughts) since the start of your COVID-19 illness?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_brain_fog_symptoms,px992002_long_covid_symptoms_memory,,checkbox,"Which of the following brain fog/cognitive functioning symptoms have you experienced since the start of your COVID-19 illness?","UNDEFINED_CODE, Difficulty with executive functioning (planning, organizing, figuring out the sequence of actions, abstracting) | UNDEFINED_CODE_1, Agnosia (failure to recognize or identify objects despite intact sensory functioning) | UNDEFINED_CODE_2, Difficulty problem-solving or decision-making | UNDEFINED_CODE_3, Difficulty thinking | UNDEFINED_CODE_4, Thoughts moving too quickly | UNDEFINED_CODE_5, Slowed thoughts | UNDEFINED_CODE_6, Poor attention or concentration | UNDEFINED_CODE_7, I did NOT have any Brain Fog symptoms | UNDEFINED_CODE_8, Other",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_brain_fog_experience_symptoms,px992002_long_covid_symptoms_memory,,checkbox,"When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if you haven't yet reached a week/month, please leave it blank). Even if you have only experienced these symptoms for part of a week or month, please select it. Brain fog/cognitive functioning symptoms: ","UNDEFINED_CODE, Week 1 | UNDEFINED_CODE_1, Week 2 | UNDEFINED_CODE_2, Week 3 | UNDEFINED_CODE_3, Week 4 | UNDEFINED_CODE_4, Month 2 | UNDEFINED_CODE_5, Month 3 | UNDEFINED_CODE_6, Month 4 | UNDEFINED_CODE_7, Month 5 | UNDEFINED_CODE_8, Month 6 | UNDEFINED_CODE_9, Month 7",PX992002,,,,,,,,,,,
long_covid_symptoms_memory_memory_loss_drive,px992002_long_covid_symptoms_memory,"Have you felt significantly limited or unable to do any of the following due to MEMORY LOSS OR BRAIN FOG (including issues with attention, cognitive functioning, and awareness) specifically?",radio,Drive,"UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_watch_children,px992002_long_covid_symptoms_memory,,radio,"Watch Children:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_cook_hot_items,px992002_long_covid_symptoms_memory,,radio,"Cook or use hot items:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_feed_yourself,px992002_long_covid_symptoms_memory,,radio,"Feed yourself:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_shower_bathe_regularly,px992002_long_covid_symptoms_memory,,radio,"Shower or bathe regularly: ","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_make_decisions,px992002_long_covid_symptoms_memory,,radio,"Make serious decisions:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_leave_return_house,px992002_long_covid_symptoms_memory,,radio,"Leave the house and return without getting lost:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_remember_correct_year_month,px992002_long_covid_symptoms_memory,,radio,"Remember the correct month or year:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_conversations,px992002_long_covid_symptoms_memory,,radio,"Have conversations with others:","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_limited_medication_schedule,px992002_long_covid_symptoms_memory,,radio,"Maintain your schedule (forgetting to take medication or forgetting you've taken medication):","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_work,px992002_long_covid_symptoms_memory,,radio,Work:,"UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_follow_instructions,px992002_long_covid_symptoms_memory,,radio,"Follow Simple Instructions: ","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_communcate,px992002_long_covid_symptoms_memory,,radio,"Communicate your thoughts and needs: ","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_other,px992002_long_covid_symptoms_memory,,radio,"Other: ","UNDEFINED_CODE, Severely unable|UNDEFINED_CODE_1, Moderately unable|UNDEFINED_CODE_2, Mildly unable|UNDEFINED_CODE_3, Able|UNDEFINED_CODE_4, Not applicable",PX992002,,,,,,,,,changes,,
long_covid_symptoms_memory_memory_loss_other_specify,px992002_long_covid_symptoms_memory,,text,"Other.  Please specify",,PX992002,,,,,"[long_covid_symptoms_memory_memory_loss_other] = 'UNDEFINED_CODE' OR [long_covid_symptoms_memory_memory_loss_other] = 'UNDEFINED_CODE_1' OR [long_covid_symptoms_memory_memory_loss_other] = 'UNDEFINED_CODE_2' OR [long_covid_symptoms_memory_memory_loss_other] = 'UNDEFINED_CODE_3'",,,,,,
long_covid_symptoms_memory_other_affected_areas,px992002_long_covid_symptoms_memory,,text,"Optional: If you have other areas of your life that were affected by memory loss or brain fog, please include them here. Please note whether they were mildly, moderately, or severely limiting.

Please do not include an identifying information (such as name or location).",,PX992002,,,,,,,,,,,
