"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_disease_progression_and_regression_211_years_record_id","px220702_phenx_disease_progression_and_regression_211_years",,"text","Record ID",,"PX220702",,,,,,,,,,"",
"intro_220702","px220702_phenx_disease_progression_and_regression_211_years",,"descriptive","The Newcastle Paediatric Mitochondrial Disease Scale (NPMDS)

2-11 years",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_date","px220702_phenx_disease_progression_and_regression_211_years",,"text","Date of assessment:",,"PX220702","date_mdy",,,,,,,,,"",""
"disease_progressionregression_2to11_age","px220702_phenx_disease_progression_and_regression_211_years",,"text","Age at assessment:",,"PX220702","number",,,,,,,,,"",""
"disease_progressionregression_2to11_parental_consanguinity","px220702_phenx_disease_progression_and_regression_211_years",,"text","Parental consanguinity:",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_parental_agepresentation","px220702_phenx_disease_progression_and_regression_211_years",,"text","Age at presentation:",,"PX220702","number",,,,,,,,,"",""
"disease_progressionregression_2to11_parentalage_agedx","px220702_phenx_disease_progression_and_regression_211_years",,"text","Age at clinical diagnosis:",,"PX220702","number",,,,,,,,,"",""
"disease_progressionregression_2to11_genotype","px220702_phenx_disease_progression_and_regression_211_years",,"text","Genotype if known:",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_biochemical_phenotype","px220702_phenx_disease_progression_and_regression_211_years",,"text","Biochemical phenotype if known:",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_basis_diagnosis","px220702_phenx_disease_progression_and_regression_211_years",,"text","Basis of clinical diagnosis e.g. MRI, blood / CSF lactate",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_reduced_fetalmovement","px220702_phenx_disease_progression_and_regression_211_years",,"text","Information regarding pregnancy:
reduced fetal movements",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_pregnancy_cardiomyopathy_antenatal","px220702_phenx_disease_progression_and_regression_211_years",,"text","Information regarding pregnancy:
cardiomyopathy on antenatal scans",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_abnormalities_fetalscan","px220702_phenx_disease_progression_and_regression_211_years",,"text","Information regarding pregnancy:
abnormalities on fetal anomaly scan",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_pregnancy_cardiomyopathy_pregnancyother","px220702_phenx_disease_progression_and_regression_211_years",,"text","Other",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_neonatal_gestationalage","px220702_phenx_disease_progression_and_regression_211_years",,"text","Neonatal information:
gestational age in weeks",,"PX220702","number",,,,,,,,,"",""
"disease_progressionregression_2to11_neonatal_deliverymethod","px220702_phenx_disease_progression_and_regression_211_years",,"text","Neonatal information:
delivery method (NVD vs instrumental vs C/S)",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_neonatal_birthweight","px220702_phenx_disease_progression_and_regression_211_years",,"text","Neonatal information:
birth weight in kg",,"PX220702","number",,,,,,,,,"",""
"disease_progressionregression_2to11_neonatal_resuscitationventilation","px220702_phenx_disease_progression_and_regression_211_years",,"text","Neonatal information:
Resuscitation and ventilation",,"PX220702",,,,,,,,,,"",""
"section_i_220702","px220702_phenx_disease_progression_and_regression_211_years",,"descriptive","Section I: Current Function

Rate function during the preceding 4 week period only according to patient and / or caregiver interview. Indicate the score that best fits patient's functional status independently of the nature of the signs.",,"PX220702",,,,,,,,,,"",""
"disease_progressionregression_2to11_currentfunction_vision","px220702_phenx_disease_progression_and_regression_211_years",,"radio","Rate function during the preceding 4 week period only according to patient and / or  caregiver interview.  - Vision","UNDEFINED_CODE, 0. Normal. No parental concerns | UNDEFINED_CODE_1, 1. Mild. Inattention to small objects in visual field or parent concerned about abnormality of visual behavior | UNDEFINED_CODE_2, 2. Moderate. Visual impairment not fully corrected with glasses or inattention to large objects in visual field | UNDEFINED_CODE_3, 3. Severe. Not recognising faces or registered blind or using additional visual aids","PX220702",,,,,,,,,,"",""
