"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"factor_eight_emicizumab_record_id","px911301_factor_eight_emicizumab",,"text","Record ID",,"PX911301",,,,,,,,,,"",
"factor_eight_emicizumab_sample_collection","px911301_factor_eight_emicizumab",,"radio","Were the sample collection procedures outlined in Lippi et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_venous_statsis","px911301_factor_eight_emicizumab",,"radio","Were steps taken to prevent prolonged venous stasis?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_nonhemolyzed","px911301_factor_eight_emicizumab",,"radio","Were nonhemolyzed samples collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_blood_draw","px911301_factor_eight_emicizumab",,"radio","Was the order of blood draw recorded?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_tubes","px911301_factor_eight_emicizumab",,"radio","Were collection tubes filled and mixed as outlined in Lippi et al. (2012)?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_venipuncture","px911301_factor_eight_emicizumab",,"radio","Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_tubes_filled","px911301_factor_eight_emicizumab",,"radio","Were the tubes filled within 11% of the fill line?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_tubes_second","px911301_factor_eight_emicizumab",,"radio","Was a second tube collected?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_tubes_winged","px911301_factor_eight_emicizumab",,"radio","Was a winged butterfly collection system used?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_collection_tubes_discard","px911301_factor_eight_emicizumab",,"radio","Was a discard tube drawn?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,"[factor_eight_emicizumab_sample_collection_tubes_winged] = 'UNDEFINED_CODE'",,,,,"",""
"factor_eight_emicizumab_sample_processing","px911301_factor_eight_emicizumab",,"radio","Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_processing_sodium_citrate","px911301_factor_eight_emicizumab",,"radio","Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
"factor_eight_emicizumab_sample_processing_refrigerated","px911301_factor_eight_emicizumab",,"radio","Were samples refrigerated or stored on ice or in an ice bath?","UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No","PX911301",,,,,,,,,,"",""
