"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"ptsd_symptoms_self_report_past_month_repeated_disturbing_record_id","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"text","Record ID",,"PX122002",,,,,,,,,,"",""
"ptsd_symptoms_self_report_past_month_repeated_disturbing_memories","px122002_phenx_ptsd_symptoms_self_report_dsm_5","In the past month, how much were you bothered by:","radio","Repeated, disturbing, and unwanted memories of the stressful experience?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_repeated_disturbing_dreams","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Repeated, disturbing dreams of the stressful experience?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_acting_experience_happening","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_upset_reminder","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Feeling very upset when something reminded you of the stressful experience?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_physical_reaction_reminder","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_avoiding_memories_thoughts_feelings","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Avoiding memories, thoughts, or feelings related to the stressful experience?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_avoiding_external_reminders","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Avoiding external reminders of the stressful experience (for example, people, places, conversations, activities, objects, or situations)?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_trouble_remembering_important_parts","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Trouble remembering important parts of the stressful experience?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_negative_beliefs","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Having strong negative beliefs about yourself, other people, or the world (for example, having thoughts such as: I am bad, there is something seriously wrong with me, no one can be trusted, the world is completely dangerous)?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_blaming","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Blaming yourself or someone else for the stressful experience or what happened after it?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_negative_feelings","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Having strong negative feelings such as fear, horror, anger, guilt, or shame?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_loss_interest_activities","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Loss of interest in activities that you used to enjoy?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_distant","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Feeling distant or cut off from other people?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_positive_feelings","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Trouble experiencing positive feelings (for example, being unable to feel happiness or have loving feelings for people close to you)?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_irritable_behavior_outbursts","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Irritable behavior, angry outbursts, or acting aggressively?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_taking_risks_harm","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Taking too many risks or doing things that could cause you harm?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_alert_watchful","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Being ""superalert"" or watchful or on guard?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_jumpy_startled","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Feeling jumpy or easily startled?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_difficulty_concentrating","px122002_phenx_ptsd_symptoms_self_report_dsm_5",,"radio","Having difficulty concentrating?","0, Not at all|1, A little bit|2, Moderately|3, Quite a bit|4, Extremely","PX122002",,,,,,,,,"mat","",""
