"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"temperament_child_record_id","px181101_phenx_temperament___child",,"text","Record ID",,"PX181101",,,,,,,,,,"",""
"temperament_child_hurry","px181101_phenx_temperament___child",,"radio","My child seems always in a big hurry to get from one place to another.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_frustrated","px181101_phenx_temperament___child",,"radio","My child gets quite frustrated when prevented from doing something s/he wants to do.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_drawing_coloring","px181101_phenx_temperament___child",,"radio","My child when drawing or coloring in a book, shows strong concentration.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_adventurous","px181101_phenx_temperament___child",,"radio","My child likes going down high slides or other adventurous activities.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_upset_bruise","px181101_phenx_temperament___child",,"radio","My child is quite upset by a little cut or bruise.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_preparation","px181101_phenx_temperament___child",,"radio","My child prepares for trips and outings by planning things s/he will need.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_rush","px181101_phenx_temperament___child",,"radio","My child often rushes into new situations.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_sad_plans","px181101_phenx_temperament___child",,"radio","My child tends to become sad if the family's plans don't work out.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_singing","px181101_phenx_temperament___child",,"radio","My child likes being sung to.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_ease_people","px181101_phenx_temperament___child",,"radio","My child seems to be at ease with almost any person.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_afraid_burglars","px181101_phenx_temperament___child",,"radio","My child is afraid of burglars or the \boogie man.\""","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_attention_detail","px181101_phenx_temperament___child",,"radio","My child notices it when parents are wearing new clothing.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_quiet_activities","px181101_phenx_temperament___child",,"radio","My child prefers quiet activities to active games.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
"temperament_child_angry_upset","px181101_phenx_temperament___child",,"radio","My child when angry about something, s/he tends to stay upset for ten minutes or longer.","1, extremely untrue of your child|2, quite untrue of your child|3, slightly untrue of your child|4, neither true nor false of your child|5, slightly true of your child|6, quite true of your child|7, extremely true of your child|NA, not applicable","PX181101",,,,,,,,,,"",""
