"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
affordability_problems_access_dental_care_delay_worryrecord_id,px280701_affordability_problems_access_dental_care,,text,"Record ID",,PX280701,,,,,,,,,,,
affordability_problems_access_dental_care_delay_worry,px280701_affordability_problems_access_dental_care,,radio,"Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Refused | UNDEFINED_CODE_3, Don't know",PX280701,,,,,,,,,,,
affordability_problems_access_dental_care_delay_worry_who_1,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 1",,PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_delay_worry_who_2,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 2",,PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_delay_worry_who_3,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 3",,PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_delay_worry_who_4,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 4",,PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_delay_worry_who_5,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 5",,PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_not_afford,px280701_affordability_problems_access_dental_care,,radio,"In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?","UNDEFINED_CODE, Yes | UNDEFINED_CODE_1, No | UNDEFINED_CODE_2, Refused | UNDEFINED_CODE_3, Don't know",PX280701,,,,,"[affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE_1' or [affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE_2' or [affordability_problems_access_dental_care_delay_worry] = 'UNDEFINED_CODE_3'",,,,,,
affordability_problems_access_dental_care_not_afford_who_1,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 1",,PX280701,,,,,"[affordability_problems_access_dental_care_not_afford] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_not_afford_who_2,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 2",,PX280701,,,,,"[affordability_problems_access_dental_care_not_afford] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_not_afford_who_3,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 3",,PX280701,,,,,"[affordability_problems_access_dental_care_not_afford] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_not_afford_who_4,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 4",,PX280701,,,,,"[affordability_problems_access_dental_care_not_afford] = 'UNDEFINED_CODE'",,,,,,
affordability_problems_access_dental_care_not_afford_who_5,px280701_affordability_problems_access_dental_care,,text,"Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 5",,PX280701,,,,,"[affordability_problems_access_dental_care_not_afford] = 'UNDEFINED_CODE'",,,,,,
