"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"ptsd_symptoms_self_report_past_month_repeated_disturbing_record_id","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"text","Record ID",,"PX122001",,,,,,,,,,"",""
"ptsd_symptoms_self_report_past_month_repeated_disturbing_memories","px122001_phenx_ptsd_symptoms_self_report_dsm_iv","Below is a list of problems and complaints that people sometimes have in response to stressful life experiences. Please read each one carefully then circle one of the numbers to the right to indicate how much you have been bothered by that problem in the past month.","radio","In the past month, how much were you bothered by: Repeated, disturbing memories, thoughts, or images of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_repeated_disturbing_dreams","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Repeated, disturbing dreams of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_acting_experience_happening","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Suddenly acting or feeling as if a stressful experience were happening again (as if you were reliving it)?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_upset_reminder","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling very upset when something reminded you of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_physical_reaction_reminder","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Having physical reactions (e.g., heart pounding, trouble breathing, sweating) when something reminded you of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_avoiding_memories_thoughts_feelings","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Avoiding thinking about or talking about a stressful experience from the past or avoiding having feelings related to it?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_avoiding_external_reminders","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Avoiding activities or situations because they reminded you of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_trouble_remembering_important_parts","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Trouble remembering important parts of a stressful experience from the past?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_loss_interest_activities","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Loss of interest in activities that you used to enjoy?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_feeling_distant","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling distant or cut off from other people?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_emotionally_numb","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling emotionally numb or being unable to have loving feelings for those close to you?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_future_cut_short","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling as if your future will somehow be cut short?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_sleep","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Trouble falling or staying asleep?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_irritable_behavior_outbursts","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling irritable or having angry outbursts?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_difficulty_concentrating","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Having difficulty concentrating?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_alert_watchful","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Being ""super-alert"" or watchful or on guard?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
"ptsd_symptoms_self_report_past_month_jumpy_startled","px122001_phenx_ptsd_symptoms_self_report_dsm_iv",,"radio","In the past month, how much were you bothered by: Feeling jumpy or easily startled?","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely","PX122001",,,,,,,,,"mat","",""
