"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
long_covid_symptoms_speech_language_hearing_language_srecord_id,px992005_long_covid_symptoms_speech_language_hearing,,text,"Record ID",,PX992005,,,,,,,,,,,
long_covid_symptoms_speech_language_hearing_language_speech_issues,px992005_long_covid_symptoms_speech_language_hearing,"Speech and Language Issues",radio,"Have you experienced any issues with SPEECH AND LANGUAGE since the start of your COVID-19 illness?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX992005,,,,,,,,,,,
long_covid_symptoms_speech_language_hearing_language_symptoms,px992005_long_covid_symptoms_speech_language_hearing,,checkbox,"Which of the following speech and language symptoms have you experienced since the start of your COVID-19 illness? ","UNDEFINED_CODE, Difficulty finding the right words while speaking/writing | UNDEFINED_CODE_1, Difficulty communicating verbally | UNDEFINED_CODE_2, Difficulty speaking in complete sentences | UNDEFINED_CODE_3, Speaking unrecognizable words | UNDEFINED_CODE_4, Difficulty communicating in writing | UNDEFINED_CODE_5, Difficulty processing/understanding what others say | UNDEFINED_CODE_6, Difficulty reading/processing written text | UNDEFINED_CODE_7, (If applicable) changes to your non-primary (second/third) language skills | UNDEFINED_CODE_8, None of the above | UNDEFINED_CODE_9, Other",PX992005,,,,,"[long_covid_symptoms_speech_language_hearing_language_speech_issues] = 'UNDEFINED_CODE'",,,,,,
long_covid_symptoms_speech_language_hearing_language_symptoms_other,px992005_long_covid_symptoms_speech_language_hearing,,text,"Which of the following speech and language symptoms have you experienced since the start of your COVID-19 illness? Other",,PX992005,,,,,"[long_covid_symptoms_speech_language_hearing_language_symptoms(UNDEFINED_CODE_9)] = '1'",,,,,,
long_covid_symptoms_speech_language_hearing_experience_symptoms,px992005_long_covid_symptoms_speech_language_hearing,,checkbox,"When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. ","UNDEFINED_CODE, Week 1 | UNDEFINED_CODE_1, Week 2 | UNDEFINED_CODE_2, Week 3 | UNDEFINED_CODE_3, Week 4 | UNDEFINED_CODE_4, Month 2 | UNDEFINED_CODE_5, Month 3 | UNDEFINED_CODE_6, Month 4 | UNDEFINED_CODE_7, Month 5 | UNDEFINED_CODE_8, Month 6 | UNDEFINED_CODE_9, Month 7",PX992005,,,,,"[long_covid_symptoms_speech_language_hearing_language_speech_issues] = 'UNDEFINED_CODE'",,,,,,
long_covid_symptoms_speech_language_hearing_multiple_languages,px992005_long_covid_symptoms_speech_language_hearing,,radio,"Do you speak multiple languages?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX992005,,,,,,,,,,,
long_covid_symptoms_speech_language_hearing_describe_language_issues,px992005_long_covid_symptoms_speech_language_hearing,,text,"Optional: Please use this space to describe examples of your language issues, including speech, writing, reading, and listening to words. Please include any changes to your speech/language that are not mentioned above. For instance, if you speak multiple languages and have noticed different problems with your primary and non-primary language. ",,PX992005,,,,,,,,,,,
long_covid_symptoms_speech_language_hearing_ear_hearing_symptoms_none,px992005_long_covid_symptoms_speech_language_hearing,,radio,"Did you experience these symptoms, and when did you experience them? Ear and Hearing Symptoms: None of the below ear and hearing symptoms apply to me","UNDEFINED_CODE, None of the below ear and hearing symptoms apply to me",PX992005,,,,,,,,,,,
long_covid_symptoms_speech_language_hearing_ear_hearing_symptoms_hearing_loss,px992005_long_covid_symptoms_speech_language_hearing,"Did you experience these symptoms, and when did you experience them?",checkbox,"Hearing loss","UNDEFINED_CODE, N/A | UNDEFINED_CODE_1, Week 1 | UNDEFINED_CODE_2, Week 2 | UNDEFINED_CODE_3, Week 3 | UNDEFINED_CODE_4, Week 4 | UNDEFINED_CODE_5, Month 2 | UNDEFINED_CODE_6, Month 3 | UNDEFINED_CODE_7, Month 4 | UNDEFINED_CODE_8, Month 5",,,,,,,,,,symptoms,,
long_covid_symptoms_speech_language_hearing_ear_hearing_symptoms_tinnitus,px992005_long_covid_symptoms_speech_language_hearing,,checkbox,Tinnitus,"UNDEFINED_CODE, N/A | UNDEFINED_CODE_1, Week 1 | UNDEFINED_CODE_2, Week 2 | UNDEFINED_CODE_3, Week 3 | UNDEFINED_CODE_4, Week 4 | UNDEFINED_CODE_5, Month 2 | UNDEFINED_CODE_6, Month 3 | UNDEFINED_CODE_7, Month 4 | UNDEFINED_CODE_8, Month 5",,,,,,,,,,symptoms,,
